prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_token_id,s_token_id,prompt_type,logit_io,logit_s,logit_diff,prob_io,prob_s,is_correct,rank_io,top_1_prediction,top_k_predictions,top_k_logits
"When David and Henry visited the restaurant, Henry handed the letter to","When David and Harry visited the restaurant, Harry handed the letter to",David,Henry,Harry,ABB,1,the restaurant,letter,3271,8616,clean,15.092305,13.17704,1.915265,0.2053335,0.03024619,True,1,David,David | the | his | a | them,15.0923 | 14.9083 | 14.0141 | 13.7023 | 13.6447
"While Bob and Kate were at the gym, Bob delivered the map to","While Carol and Kate were at the gym, Carol delivered the map to",Kate,Bob,Carol,BAB,5,the gym,map,16693,5811,clean,15.87927,12.782574,3.096696,0.33317986,0.01505916,True,1,Kate,Kate | the | his | them | her,15.8793 | 14.7417 | 14.2704 | 13.7345 | 13.5850
"When Isla and Ella arrived at the hospital, Ella passed the wallet to","When Isla and Wendy arrived at the hospital, Wendy passed the wallet to",Isla,Ella,Wendy,ABB,2,the hospital,wallet,1148,7122,clean,11.35209,12.453295,-1.101205,0.00832796,0.02504873,False,9,her,her | the | a | Ell | their,14.1081 | 14.0776 | 12.8946 | 12.4533 | 12.0566
"When Clara and Kate went to the museum, Clara gave the package to","When Derek and Kate went to the museum, Derek gave the package to",Kate,Clara,Derek,BAB,0,the museum,package,16693,27443,clean,17.429018,13.007337,4.421681,0.6151036,0.00738986,True,1,Kate,Kate | her | the | them | a,17.4290 | 15.5009 | 15.0823 | 13.9221 | 13.7387
"After Grace and Victor left the school, Victor sent the card to","After Grace and Sam left the school, Sam sent the card to",Grace,Victor,Sam,ABB,3,the school,card,16156,12622,clean,15.110701,12.345379,2.765322,0.24496345,0.01542188,True,1,Grace,Grace | her | his | the | a,15.1107 | 14.0978 | 13.8668 | 13.8281 | 12.4107
"When Kate and Clara went to the hospital, Kate gave the phone to","When Olivia and Clara went to the hospital, Olivia gave the phone to",Clara,Kate,Olivia,BAB,0,the hospital,phone,27443,16693,clean,15.384129,11.106884,4.277245,0.23123835,0.00320979,True,1,Clara,Clara | her | the | a | Claire,15.3841 | 14.9898 | 14.4867 | 13.8669 | 12.3053
"As Xander and Isla walked through the station, Xander offered the ticket to","As Carol and Isla walked through the station, Carol offered the ticket to",Isla,Xander,Carol,BAB,6,the station,ticket,1148,46122,clean,13.975134,14.466599,-0.491466,0.0701907,0.11474145,False,3,the,the | Xander | Is | them | his,14.9603 | 14.4666 | 13.9751 | 13.5023 | 13.3380
"After Emma and Victor left the gym, Emma sent the bag to","After Liam and Victor left the gym, Liam sent the bag to",Victor,Emma,Liam,BAB,3,the gym,bag,12622,18966,clean,15.412078,13.308573,2.103505,0.26817721,0.03272512,True,1,Victor,Victor | her | the | Emma | Victoria,15.4121 | 14.6050 | 14.5757 | 13.3086 | 13.0401
"When Isla and Liam visited the station, Liam handed the ticket to","When Isla and Mia visited the station, Mia handed the ticket to",Isla,Liam,Mia,ABB,1,the station,ticket,1148,31684,clean,13.611208,12.175811,1.435397,0.0795149,0.0189262,True,2,the,the | Is | them | a | his,14.4286 | 13.6112 | 13.3852 | 12.8496 | 12.3480
"When Noah and Emma arrived at the theater, Emma passed the letter to","When Noah and Olivia arrived at the theater, Olivia passed the letter to",Noah,Emma,Olivia,ABB,2,the theater,letter,18394,18966,clean,16.700979,13.347196,3.353784,0.59226698,0.02070083,True,1,Noah,Noah | her | the | them | Emma,16.7010 | 14.5302 | 14.2762 | 13.3538 | 13.3472
"When Victor and Emma visited the restaurant, Emma handed the phone to","When Victor and Gina visited the restaurant, Gina handed the phone to",Victor,Emma,Gina,ABB,1,the restaurant,phone,12622,18966,clean,17.4604,11.343964,6.116436,0.70117587,0.00154701,True,1,Victor,Victor | the | her | him | a,17.4604 | 14.8951 | 14.2755 | 13.8622 | 13.4438
"Once Carol and Ella were at the theater, Carol brought the gift to","Once Isla and Ella were at the theater, Isla brought the gift to",Ella,Carol,Isla,BAB,4,the theater,gift,7122,5074,clean,14.625889,12.339836,2.286053,0.12740038,0.01295241,True,2,her,her | Ell | the | them | a,15.2627 | 14.6259 | 14.4120 | 13.4923 | 13.1669
"When Bob and David visited the library, David handed the wallet to","When Bob and Victor visited the library, Victor handed the wallet to",Bob,David,Victor,ABB,1,the library,wallet,5811,3271,clean,16.158369,12.343064,3.815305,0.30732378,0.00677065,True,1,Bob,Bob | the | his | them | a,16.1584 | 15.0407 | 14.4927 | 14.4342 | 14.2685
"After Mia and Yara left the office, Yara sent the letter to","After Mia and Fred left the office, Fred sent the letter to",Mia,Yara,Fred,ABB,3,the office,letter,32189,575,clean,13.650721,13.465187,0.185534,0.10534143,0.08750302,True,2,the,the | Mia | her | Y | his,13.6783 | 13.6507 | 13.4823 | 13.4652 | 11.8985
"When Clara and Carol went to the office, Carol gave the wallet to","When Clara and Iris went to the office, Iris gave the wallet to",Clara,Carol,Iris,ABB,0,the office,wallet,27443,5074,clean,15.969454,12.774703,3.194751,0.35097638,0.01438187,True,1,Clara,Clara | her | the | a | them,15.9695 | 14.6896 | 14.5986 | 13.4635 | 13.3548
"When Grace and Iris visited the hospital, Grace handed the map to","When Bob and Iris visited the hospital, Bob handed the map to",Iris,Grace,Bob,BAB,1,the hospital,map,34230,16156,clean,15.751785,9.321953,6.429832,0.37772021,0.00060916,True,1,Iris,Iris | her | the | them | a,15.7518 | 15.0239 | 14.5873 | 13.4442 | 12.3841
"While Fred and Mia were at the office, Fred delivered the map to","While Paul and Mia were at the office, Paul delivered the map to",Mia,Fred,Paul,BAB,5,the office,map,32189,8559,clean,14.355755,11.679333,2.676422,0.14295359,0.00983648,True,2,the,the | Mia | his | her | a,14.5017 | 14.3558 | 13.6963 | 12.8965 | 12.8243
"After Sam and Olivia left the park, Olivia sent the wallet to","After Sam and Frank left the park, Frank sent the wallet to",Sam,Olivia,Frank,ABB,3,the park,wallet,3409,33911,clean,15.297401,12.777077,2.520325,0.24874155,0.02000715,True,1,Sam,Sam | the | her | a | Olivia,15.2974 | 14.2629 | 14.2289 | 13.1644 | 12.7771
"When Alice and Fred went to the cafe, Alice gave the ticket to","When Isla and Fred went to the cafe, Isla gave the ticket to",Fred,Alice,Isla,BAB,0,the cafe,ticket,8559,14862,clean,17.129822,13.692677,3.437145,0.63361079,0.02037461,True,1,Fred,Fred | the | her | them | Alice,17.1298 | 15.1456 | 14.0143 | 13.7310 | 13.6927
"After David and Sam left the museum, David sent the wallet to","After Yara and Sam left the museum, Yara sent the wallet to",Sam,David,Yara,BAB,3,the museum,wallet,3409,3271,clean,14.569119,12.100557,2.468562,0.13978945,0.01184108,True,2,his,his | Sam | the | a | him,14.7254 | 14.5691 | 14.3503 | 13.6617 | 12.3381
"As Isla and Rose walked through the office, Isla offered the pen to","As David and Rose walked through the office, David offered the pen to",Rose,Isla,David,BAB,6,the office,pen,8049,1148,clean,15.337082,9.856025,5.481057,0.43321595,0.00180431,True,1,Rose,Rose | her | the | a | his,15.3371 | 14.2489 | 13.7738 | 12.7519 | 12.5967
"After Liam and David left the gym, David sent the package to","After Liam and Quinn left the gym, Quinn sent the package to",Liam,David,Quinn,ABB,3,the gym,package,31684,3271,clean,15.078722,11.138011,3.940711,0.19527803,0.00379511,True,1,Liam,Liam | his | the | him | their,15.0787 | 14.9792 | 14.2051 | 13.4973 | 12.9888
"When Ella and Noah visited the store, Ella handed the book to","When Victor and Noah visited the store, Victor handed the book to",Noah,Ella,Victor,BAB,1,the store,book,18394,7122,clean,17.952374,10.077641,7.874732,0.82819748,0.00031491,True,1,Noah,Noah | the | her | them | a,17.9524 | 14.8784 | 14.6805 | 13.6504 | 13.2795
"While Liam and Isla were at the market, Liam delivered the jacket to","While Bob and Isla were at the market, Bob delivered the jacket to",Isla,Liam,Bob,BAB,5,the market,jacket,1148,31684,clean,16.134556,12.943102,3.191454,0.56243134,0.02312271,True,1,Is,Is | his | the | Liam | a,16.1346 | 13.8885 | 13.8660 | 12.9431 | 12.8162
"When Quinn and Rose visited the library, Quinn handed the card to","When Tara and Rose visited the library, Tara handed the card to",Rose,Quinn,Tara,BAB,1,the library,card,8049,16109,clean,17.190559,13.150185,4.040375,0.65675098,0.01155283,True,1,Rose,Rose | her | the | a | Quinn,17.1906 | 15.4014 | 14.7741 | 13.4128 | 13.1502
