prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_token_id,s_token_id,prompt_type,logit_io,logit_s,logit_diff,prob_io,prob_s,is_correct,rank_io,top_1_prediction,top_k_predictions,top_k_logits
"When David and Henry visited the restaurant, Henry handed the letter to","When David and Harry visited the restaurant, Harry handed the letter to",David,Henry,Harry,ABB,1,the restaurant,letter,3271,8616,corrupted,15.394979,8.841785,6.553194,0.22920315,0.00032674,True,1,David,David | the | his | a | Harry,15.3950 | 15.0127 | 14.5695 | 13.7033 | 13.4761
"While Bob and Kate were at the gym, Bob delivered the map to","While Carol and Kate were at the gym, Carol delivered the map to",Kate,Bob,Carol,BAB,5,the gym,map,16693,5811,corrupted,14.934275,10.65589,4.278384,0.15436198,0.00214024,True,2,her,her | Kate | the | them | Carol,15.1471 | 14.9343 | 14.5390 | 13.5164 | 13.4098
"When Isla and Ella arrived at the hospital, Ella passed the wallet to","When Isla and Wendy arrived at the hospital, Wendy passed the wallet to",Isla,Ella,Wendy,ABB,2,the hospital,wallet,1148,7122,corrupted,11.958575,9.331335,2.62724,0.00878948,0.00063528,True,8,her,her | the | a | Wendy | their,15.0160 | 14.6839 | 13.8011 | 13.6154 | 13.1044
"When Clara and Kate went to the museum, Clara gave the package to","When Derek and Kate went to the museum, Derek gave the package to",Kate,Clara,Derek,BAB,0,the museum,package,16693,27443,corrupted,18.066429,6.427705,11.638724,0.75264758,6.64e-06,True,1,Kate,Kate | the | his | them | their,18.0664 | 15.2325 | 15.0479 | 14.7014 | 14.3699
"After Grace and Victor left the school, Victor sent the card to","After Grace and Sam left the school, Sam sent the card to",Grace,Victor,Sam,ABB,3,the school,card,16156,12622,corrupted,15.603396,6.922748,8.680649,0.26556298,4.51e-05,True,1,Grace,Grace | his | her | Sam | the,15.6034 | 14.3559 | 14.2837 | 14.0888 | 14.0605
"When Kate and Clara went to the hospital, Kate gave the phone to","When Olivia and Clara went to the hospital, Olivia gave the phone to",Clara,Kate,Olivia,BAB,0,the hospital,phone,27443,16693,corrupted,15.260077,8.480974,6.779102,0.17841822,0.00020291,True,1,Clara,Clara | her | the | a | them,15.2601 | 15.2433 | 14.7790 | 13.9429 | 12.7208
"As Xander and Isla walked through the station, Xander offered the ticket to","As Carol and Isla walked through the station, Carol offered the ticket to",Isla,Xander,Carol,BAB,6,the station,ticket,1148,46122,corrupted,13.339704,4.420298,8.919406,0.05264856,7.04e-06,True,3,the,the | her | Is | Carol | a,14.5854 | 13.6082 | 13.3397 | 13.2143 | 13.0779
"After Emma and Victor left the gym, Emma sent the bag to","After Liam and Victor left the gym, Liam sent the bag to",Victor,Emma,Liam,BAB,3,the gym,bag,12622,18966,corrupted,14.770018,10.173864,4.596153,0.19538052,0.0019715,True,1,Victor,Victor | his | the | a | him,14.7700 | 14.3090 | 14.2775 | 12.9430 | 12.8600
"When Isla and Liam visited the station, Liam handed the ticket to","When Isla and Mia visited the station, Mia handed the ticket to",Isla,Liam,Mia,ABB,1,the station,ticket,1148,31684,corrupted,12.013474,7.709409,4.304065,0.01735315,0.0002345,True,6,the,the | Mia | her | a | them,14.4194 | 13.2090 | 13.0112 | 12.9451 | 12.2421
"When Noah and Emma arrived at the theater, Emma passed the letter to","When Noah and Olivia arrived at the theater, Olivia passed the letter to",Noah,Emma,Olivia,ABB,2,the theater,letter,18394,18966,corrupted,15.228169,9.592817,5.635352,0.26848981,0.00095835,True,1,Noah,Noah | her | the | them | a,15.2282 | 14.3292 | 14.3059 | 13.3577 | 13.2008
"When Victor and Emma visited the restaurant, Emma handed the phone to","When Victor and Gina visited the restaurant, Gina handed the phone to",Victor,Emma,Gina,ABB,1,the restaurant,phone,12622,18966,corrupted,16.965895,7.667791,9.298103,0.62788624,5.751e-05,True,1,Victor,Victor | the | her | a | him,16.9659 | 14.5776 | 14.0651 | 13.4996 | 13.4048
"Once Carol and Ella were at the theater, Carol brought the gift to","Once Isla and Ella were at the theater, Isla brought the gift to",Ella,Carol,Isla,BAB,4,the theater,gift,7122,5074,corrupted,15.090437,5.745042,9.345395,0.28517452,2.491e-05,True,1,Ell,Ell | her | the | a | his,15.0904 | 14.7703 | 14.0739 | 12.5662 | 12.4498
"When Bob and David visited the library, David handed the wallet to","When Bob and Victor visited the library, Victor handed the wallet to",Bob,David,Victor,ABB,1,the library,wallet,5811,3271,corrupted,16.360069,9.524141,6.835928,0.46946663,0.00050443,True,1,Bob,Bob | the | them | his | him,16.3601 | 14.6331 | 13.7548 | 13.7104 | 13.3534
"After Mia and Yara left the office, Yara sent the letter to","After Mia and Fred left the office, Fred sent the letter to",Mia,Yara,Fred,ABB,3,the office,letter,32189,575,corrupted,13.86305,8.97062,4.89243,0.09082549,0.00068148,True,2,the,the | Mia | her | his | Fred,13.9646 | 13.8631 | 13.5556 | 13.1768 | 12.5605
"When Clara and Carol went to the office, Carol gave the wallet to","When Clara and Iris went to the office, Iris gave the wallet to",Clara,Carol,Iris,ABB,0,the office,wallet,27443,5074,corrupted,15.520572,7.386009,8.134562,0.32299453,9.471e-05,True,1,Clara,Clara | the | her | them | Iris,15.5206 | 14.4462 | 14.3392 | 13.6380 | 12.9918
"When Grace and Iris visited the hospital, Grace handed the map to","When Bob and Iris visited the hospital, Bob handed the map to",Iris,Grace,Bob,BAB,1,the hospital,map,34230,16156,corrupted,17.390202,7.796902,9.5933,0.67402405,4.596e-05,True,1,Iris,Iris | the | them | her | his,17.3902 | 14.8141 | 14.7305 | 14.3010 | 14.0646
"While Fred and Mia were at the office, Fred delivered the map to","While Paul and Mia were at the office, Paul delivered the map to",Mia,Fred,Paul,BAB,5,the office,map,32189,8559,corrupted,14.343058,8.332046,6.011012,0.14272285,0.0003499,True,2,the,the | Mia | his | Paul | a,14.4058 | 14.3431 | 13.6278 | 13.0948 | 12.8632
"After Sam and Olivia left the park, Olivia sent the wallet to","After Sam and Frank left the park, Frank sent the wallet to",Sam,Olivia,Frank,ABB,3,the park,wallet,3409,33911,corrupted,15.331601,7.562963,7.768638,0.26213145,0.00011083,True,1,Sam,Sam | the | Frank | his | a,15.3316 | 14.2297 | 13.9967 | 13.9366 | 13.1510
