prompt,speaker_name,recipient_name,pronoun,template_idx,target_token_id,foil_token_id,speaker_gender
Clara met Henry at the store. She bought a gift for,Clara,Henry,She,0,8616,27443,F
Bob visited Gina at home. He brought flowers for,Bob,Gina,He,1,43002,5811,M
Kate called Paul on the phone. She left a message for,Kate,Paul,She,2,3362,16693,F
Paul helped Grace move. He carried the boxes for,Paul,Grace,He,3,16156,3362,M
Gina thanked Henry warmly. She wrote a letter for,Gina,Henry,She,4,8616,43002,F
Frank surprised Amy at the party. He baked a cake for,Frank,Amy,He,5,14235,5278,M
Olivia recommended David for the job. She wrote a reference for,Olivia,David,She,6,3271,33911,F
Bob met Emma at the store. He bought a gift for,Bob,Emma,He,0,18966,5811,M
Iris visited Paul at home. She brought flowers for,Iris,Paul,She,1,3362,34230,F
Bob called Tara on the phone. He left a message for,Bob,Tara,He,2,37723,5811,M
Iris helped Derek move. She carried the boxes for,Iris,Derek,She,3,20893,34230,F
Paul thanked Rose warmly. He wrote a letter for,Paul,Rose,He,4,8049,3362,M
Amy surprised Sam at the party. She baked a cake for,Amy,Sam,She,5,3409,14235,F
Bob recommended Grace for the job. He wrote a reference for,Bob,Grace,He,6,16156,5811,M
Gina met Derek at the store. She bought a gift for,Gina,Derek,She,0,20893,43002,F
Xander visited Kate at home. He brought flowers for,Xander,Kate,He,1,16693,46122,M
Grace called Noah on the phone. She left a message for,Grace,Noah,She,2,18394,16156,F
Xander helped Emma move. He carried the boxes for,Xander,Emma,He,3,18966,46122,M
Emma thanked Brian warmly. She wrote a letter for,Emma,Brian,She,4,8403,18966,F
Henry surprised Mia at the party. He baked a cake for,Henry,Mia,He,5,32189,8616,M
Mia recommended Sam for the job. She wrote a reference for,Mia,Sam,She,6,3409,32189,F
David met Gina at the store. He bought a gift for,David,Gina,He,0,43002,3271,M
Rose visited Henry at home. She brought flowers for,Rose,Henry,She,1,8616,8049,F
Brian called Emma on the phone. He left a message for,Brian,Emma,He,2,18966,8403,M
Tara helped Victor move. She carried the boxes for,Tara,Victor,She,3,12622,37723,F
Zach thanked Amy warmly. He wrote a letter for,Zach,Amy,He,4,14235,18825,M
Iris surprised Frank at the party. She baked a cake for,Iris,Frank,She,5,5278,34230,F
David recommended Clara for the job. He wrote a reference for,David,Clara,He,6,27443,3271,M
Iris met Victor at the store. She bought a gift for,Iris,Victor,She,0,12622,34230,F
Frank visited Iris at home. He brought flowers for,Frank,Iris,He,1,34230,5278,M
Emma called Brian on the phone. She left a message for,Emma,Brian,She,2,8403,18966,F
Sam helped Rose move. He carried the boxes for,Sam,Rose,He,3,8049,3409,M
Clara thanked Zach warmly. She wrote a letter for,Clara,Zach,She,4,18825,27443,F
Liam surprised Mia at the party. He baked a cake for,Liam,Mia,He,5,32189,31684,M
