prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_token_id_proxy,s_token_id_proxy,io_name_is_multi_token,s_name_is_multi_token,proxy_used,proxy_collapsed,logit_io_proxy,logit_s_proxy,logit_diff_proxy,prob_io_proxy,prob_s_proxy,is_correct,rank_io_proxy,top_5_predictions,top_5_logits,seq_length_tokens,language
যখন রাম এবং গীতা পার্ক গেলেন, গীতা বই দিলেন,রাম,শ্যাম,গীতা,ABB,0,পার্ক,বই,35178,35178,True,True,True,True,18.130465,18.130465,0.0,0.51773298,0.51773298,False,1,"� | , | । |  | ",18.1305 | 17.5358 | 16.3405 | 15.3594 | 14.4541,31,bengali
যখন সীতা এবং রবি দোকান পৌঁছালেন, রবি উপহার দিলেন,সীতা,মোহন,রবি,ABB,1,দোকান,উপহার,35178,35178,True,True,True,True,17.859505,17.859505,0.0,0.47872832,0.47872832,False,1,"� | , | । |  | ",17.8595 | 17.3789 | 16.3410 | 15.0572 | 14.4315,37,bengali
যখন গীতা এবং কমল হাসপাতাল এলেন, কমল চিঠি পাঠালেন,গীতা,অনিল,কমল,ABB,2,হাসপাতাল,চিঠি,35178,35178,True,True,True,True,17.905369,17.905369,0.0,0.48433524,0.48433524,False,1,"� | , | । |  | ",17.9054 | 17.3158 | 16.3512 | 15.1015 | 14.7954,33,bengali
যখন বিজয় এবং প্রিয়া স্কুল ছেড়ে গেলেন, প্রিয়া ব্যাগ দিয়ে গেলেন,বিজয়,দেবী,প্রিয়া,ABB,3,স্কুল,ব্যাগ,35178,35178,True,True,True,True,17.95425,17.95425,0.0,0.39305618,0.39305618,False,1,"� | , | । |  | ",17.9543 | 17.8857 | 16.8452 | 15.2439 | 14.6522,45,bengali
যখন প্রিয়া এবং নীতা বাজার গেলেন, নীতা টিকিট দিলেন,প্রিয়া,রোহান,নীতা,ABB,0,বাজার,টিকিট,35178,35178,True,True,True,True,17.87538,17.87538,0.0,0.46680769,0.46680769,False,1,"� | , | । |  | ",17.8754 | 17.4862 | 16.3204 | 15.0885 | 14.5522,36,bengali
যখন মীনা এবং ললিতা জাদুঘর পৌঁছালেন, ললিতা কার্ড দিলেন,মীনা,অজয়,ললিতা,ABB,1,জাদুঘর,কার্ড,35178,35178,True,True,True,True,18.095818,18.095818,0.0,0.53810549,0.53810549,False,1,"� | , | । |  | ে",18.0958 | 17.3562 | 16.3466 | 15.0789 | 14.4214,41,bengali
যখন কমল এবং পূজা স্টেশন এলেন, পূজা কলম পাঠালেন,কমল,সুরেশ,পূজা,ABB,2,স্টেশন,কলম,35178,35178,True,True,True,True,17.73226,17.73226,0.0,0.48511204,0.48511204,False,1,"� | , | । |  | ",17.7323 | 17.1344 | 16.1860 | 14.9057 | 14.6794,31,bengali
যখন রবি এবং বিজয় পার্ক ছেড়ে গেলেন, বিজয় ফোন দিয়ে গেলেন,রবি,অর্জুন,বিজয়,ABB,3,পার্ক,ফোন,35178,35178,True,True,True,True,18.031195,18.031195,0.0,0.37873796,0.37873796,False,2,", | � | । |  | ,",18.0679 | 18.0312 | 16.8822 | 15.4081 | 14.8149,39,bengali
যখন সুনীতা এবং মোহন অফিস গেলেন, মোহন বই দিলেন,সুনীতা,নীতা,মোহন,ABB,0,অফিস,বই,35178,35178,True,True,True,True,17.559048,17.559048,0.0,0.44765317,0.44765317,False,1,"� | , | । |  | ",17.5590 | 17.2840 | 15.7353 | 14.9878 | 14.3652,35,bengali
যখন ললিতা এবং রবি রেস্তোরাঁ পৌঁছালেন, রবি উপহার দিলেন,ললিতা,পূজা,রবি,ABB,1,রেস্তোরাঁ,উপহার,35178,35178,True,True,True,True,18.006916,18.006916,0.0,0.52266425,0.52266425,False,1,"� | , | । |  | ",18.0069 | 17.3715 | 16.2480 | 15.1244 | 14.4256,41,bengali
যখন অর্জুন এবং শ্যাম লাইব্রেরি এলেন, শ্যাম প্যাকেজ পাঠালেন,অর্জুন,মীনা,শ্যাম,ABB,2,লাইব্রেরি,প্যাকেজ,35178,35178,True,True,True,True,17.42256,17.42256,0.0,0.43730134,0.43730134,False,1,"� | , | । |  | ",17.4226 | 17.1856 | 15.5935 | 14.9276 | 14.0890,38,bengali
যখন নীতা এবং অনিল দোকান ছেড়ে গেলেন, অনিল চাবি দিয়ে গেলেন,নীতা,কমল,অনিল,ABB,3,দোকান,চাবি,35178,35178,True,True,True,True,17.755295,17.755295,0.0,0.39618903,0.39618903,False,1,"� | , | । |  | ",17.7553 | 17.7027 | 16.4794 | 15.0452 | 14.5551,40,bengali
যখন পূজা এবং সীতা হাসপাতাল গেলেন, সীতা টিকিট দিলেন,পূজা,বিজয়,সীতা,ABB,0,হাসপাতাল,টিকিট,35178,35178,True,True,True,True,17.846563,17.846563,0.0,0.38787407,0.38787407,False,1,"� | , | । |  | ",17.8466 | 17.8053 | 16.7068 | 15.0951 | 14.7697,36,bengali
যখন রাম এবং শ্যাম স্কুল গেলেন, রাম ফোন দিলেন,শ্যাম,গীতা,রাম,BAB,0,স্কুল,ফোন,35178,35178,True,True,True,True,17.975052,17.975052,0.0,0.5558086,0.5558086,False,1,"� | , | । |  | ",17.9751 | 17.1766 | 15.9374 | 15.2121 | 14.3188,32,bengali
যখন দেবী এবং অনিল বাজার পৌঁছালেন, দেবী কলম দিলেন,অনিল,সীতা,দেবী,BAB,1,বাজার,কলম,35178,35178,True,True,True,True,18.16247,18.16247,0.0,0.52779019,0.52779019,False,1,"� | , | । |  | ",18.1625 | 17.5176 | 16.4249 | 15.1060 | 14.4160,37,bengali
যখন প্রিয়া এবং মোহন জাদুঘর এলেন, প্রিয়া কার্ড পাঠালেন,মোহন,রাম,প্রিয়া,BAB,2,জাদুঘর,কার্ড,35178,35178,True,True,True,True,18.108292,18.108292,0.0,0.51794648,0.51794648,False,1,"� | , | । |  | ",18.1083 | 17.4769 | 16.3765 | 15.2782 | 14.5681,38,bengali
যখন রোহান এবং দেবী স্টেশন ছেড়ে গেলেন, রোহান ব্যাগ দিয়ে গেলেন,দেবী,সুনীতা,রোহান,BAB,3,স্টেশন,ব্যাগ,35178,35178,True,True,True,True,18.109383,18.109383,0.0,0.40266755,0.40266755,False,1,"� | , | । |  | ",18.1094 | 18.0683 | 16.8971 | 15.2914 | 14.5485,42,bengali
যখন অজয় এবং রোহান অফিস গেলেন, অজয় চিঠি দিলেন,রোহান,বিজয়,অজয়,BAB,0,অফিস,চিঠি,35178,35178,True,True,True,True,17.686945,17.686945,0.0,0.46896663,0.46896663,False,1,"� | , | । |  | ",17.6869 | 17.2701 | 15.9739 | 15.0671 | 14.4024,33,bengali
যখন কমল এবং অজয় রেস্তোরাঁ পৌঁছালেন, কমল উপহার দিলেন,অজয়,অর্জুন,কমল,BAB,1,রেস্তোরাঁ,উপহার,35178,35178,True,True,True,True,18.058222,18.058222,0.0,0.52402925,0.52402925,False,1,"� | , | । |  | ",18.0582 | 17.2895 | 16.5842 | 14.9091 | 14.5675,41,bengali
যখন মীনা এবং সুরেশ পার্ক এলেন, মীনা বই পাঠালেন,সুরেশ,প্রিয়া,মীনা,BAB,2,পার্ক,বই,35178,35178,True,True,True,True,17.736683,17.736683,0.0,0.57539606,0.57539606,False,1,"� | , | ে |  | ।",17.7367 | 16.3804 | 15.3791 | 15.0317 | 14.9101,33,bengali
যখন সুনীতা এবং ললিতা লাইব্রেরি ছেড়ে গেলেন, সুনীতা টিকিট দিয়ে গেলেন,ললিতা,রোহান,সুনীতা,BAB,3,লাইব্রেরি,টিকিট,35178,35178,True,True,True,True,17.76207,17.76207,0.0,0.34204406,0.34204406,False,2,", | � | । |  | ",18.0522 | 17.7621 | 16.5504 | 14.9922 | 14.5779,47,bengali
যখন পূজা এবং সুনীতা দোকান গেলেন, পূজা চাবি দিলেন,সুনীতা,মীনা,পূজা,BAB,0,দোকান,চাবি,35178,35178,True,True,True,True,17.798843,17.798843,0.0,0.39556852,0.39556852,False,1,"� | , | । |  | ",17.7988 | 17.7940 | 16.3597 | 15.0857 | 14.5197,37,bengali
যখন অর্জুন এবং বিজয় বাজার পৌঁছালেন, অর্জুন ফোন দিলেন,বিজয়,কমল,অর্জুন,BAB,1,বাজার,ফোন,35178,35178,True,True,True,True,17.893658,17.893658,0.0,0.4258799,0.4258799,False,1,"� | , | । |  | ",17.8937 | 17.7151 | 16.5463 | 14.9294 | 14.3202,41,bengali
যখন শ্যাম এবং নীতা স্টেশন এলেন, শ্যাম উপহার পাঠালেন,নীতা,সুরেশ,শ্যাম,BAB,2,স্টেশন,উপহার,35178,35178,True,True,True,True,17.745491,17.745491,0.0,0.50857317,0.50857317,False,1,"� | , | । |  | ",17.7455 | 17.1119 | 15.6896 | 15.1675 | 14.4831,33,bengali
যখন গীতা এবং পূজা রেস্তোরাঁ ছেড়ে গেলেন, গীতা চিঠি দিয়ে গেলেন,পূজা,অজয়,গীতা,BAB,3,রেস্তোরাঁ,চিঠি,35178,35178,True,True,True,True,17.767857,17.767857,0.0,0.34412125,0.34412125,False,2,", | � | । |  | ",18.0091 | 17.7679 | 16.6607 | 15.0205 | 14.5352,45,bengali
