prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_token_id_proxy,s_token_id_proxy,io_name_is_multi_token,s_name_is_multi_token,proxy_used,proxy_collapsed,logit_io_proxy,logit_s_proxy,logit_diff_proxy,prob_io_proxy,prob_s_proxy,is_correct,rank_io_proxy,top_5_predictions,top_5_logits,seq_length_tokens,language
जब राम और गीता पार्क गए, गीता ने किताब दिया,राम,श्याम,गीता,ABB,0,पार्क,किताब,14925,14925,True,True,True,True,16.879873,16.879873,0.0,0.62939262,0.62939262,False,1,"� | ह | , | क | स",16.8799 | 15.6484 | 14.1519 | 14.1125 | 13.5330,23,hindi
जब सीता और रवि दुकान पहुंचे, रवि ने उपहार सौंपा,सीता,मोहन,रवि,ABB,1,दुकान,उपहार,68158,91217,True,True,True,False,14.115138,14.665957,-0.550819,0.02827713,0.0490516,False,7,"� | ह | , | क | म",16.4948 | 16.3205 | 15.7123 | 15.2447 | 14.6660,26,hindi
जब गीता और कमल अस्पताल आए, कमल ने पत्र भेजा,गीता,अनिल,कमल,ABB,2,अस्पताल,पत्र,14925,14925,True,True,True,True,15.967152,15.967152,0.0,0.44945103,0.44945103,False,1,"� | ह | , | ग | ं",15.9672 | 15.3595 | 14.1931 | 13.6267 | 13.6123,25,hindi
जब विजय और प्रिया स्कूल छोड़े, प्रिया ने थैला दे दिया,विजय,देवी,प्रिया,ABB,3,स्कूल,थैला,14925,14925,True,True,True,True,17.30257,17.30257,0.0,0.51528692,0.51528692,False,1,"� | ह | , | क | ।",17.3026 | 16.5076 | 15.3547 | 15.0318 | 14.6260,29,hindi
जब प्रिया और नीता बाजार गए, नीता ने टिकट दिया,प्रिया,रोहन,नीता,ABB,0,बाजार,टिकट,83636,14925,True,True,True,False,12.793772,16.387779,-3.594007,0.01343543,0.4887754,False,7,"� | ह | , | क | स",16.3878 | 15.9523 | 13.8334 | 13.7354 | 13.0156,25,hindi
जब मीना और ललिता संग्रहालय पहुंचे, ललिता ने कार्ड सौंपा,मीना,अजय,ललिता,ABB,1,संग्रहालय,कार्ड,91217,14925,True,True,True,False,14.045155,16.532604,-2.48745,0.03095335,0.37238592,False,5,"� | ह | , | क | म",16.5326 | 16.1399 | 15.4546 | 14.9371 | 14.0452,30,hindi
जब कमल और पूजा स्टेशन आए, पूजा ने कलम भेजा,कमल,सुरेश,पूजा,ABB,2,स्टेशन,कलम,47809,68158,True,True,True,False,12.891476,11.255335,1.636141,0.0153394,0.00298704,True,6,"� | ह | ं | ग | ,",16.1355 | 15.7099 | 14.9484 | 14.2730 | 13.5497,23,hindi
जब रवि और विजय पार्क छोड़े, विजय ने फोन दे दिया,रवि,अर्जुन,विजय,ABB,3,पार्क,फोन,14925,14925,True,True,True,True,17.298273,17.298273,0.0,0.52953839,0.52953839,False,1,"� | ह | , | क | ।",17.2983 | 16.0459 | 15.5071 | 15.2905 | 14.8716,27,hindi
जब सुनीता और मोहन कार्यालय गए, मोहन ने किताब दिया,सुनीता,नीता,मोहन,ABB,0,कार्यालय,किताब,68158,14925,True,True,True,False,13.253458,16.031277,-2.777819,0.03154695,0.50739795,False,5,"� | ह | क | , | स",16.0313 | 14.9850 | 13.9980 | 13.8432 | 13.2535,27,hindi
जब ललिता और रवि रेस्टोरेंट पहुंचे, रवि ने उपहार सौंपा,ललिता,पूजा,रवि,ABB,1,रेस्टोरेंट,उपहार,14925,83636,True,True,True,False,16.941782,13.700778,3.241004,0.33122808,0.01295916,True,2,"ह | � | , | क | म",16.9462 | 16.9418 | 15.9390 | 15.5027 | 14.2719,33,hindi
जब अर्जुन और श्याम पुस्तकालय आए, श्याम ने पैकेज भेजा,अर्जुन,मीना,श्याम,ABB,2,पुस्तकालय,पैकेज,14925,91217,True,True,True,False,16.11721,10.980116,5.137094,0.47388619,0.00278396,True,1,"� | ह | ग | , | ं",16.1172 | 15.3327 | 14.3697 | 14.0200 | 13.4415,31,hindi
