prompt,speaker,recipient,pronoun,logit_diff,prob_io,prob_s,is_correct,rank_io,template_idx
Clara met Henry at the store. She bought a gift for,Clara,Henry,She,3.5953502655029297,0.18909555673599243,0.005190874915570021,True,2,0
Sam visited Iris at home. He brought flowers for,Sam,Iris,He,2.408635139465332,0.0878157913684845,0.007897973991930485,True,3,1
Grace called Henry on the phone. She left a message for,Grace,Henry,She,3.481635093688965,0.05808354541659355,0.0017864801920950413,True,4,2
Frank helped Amy move. He carried the boxes for,Frank,Amy,He,4.528114318847656,0.3113376796245575,0.0033627660013735294,True,1,3
Alice thanked Bob warmly. She wrote a letter for,Alice,Bob,She,1.2945928573608398,0.10750647634267807,0.029457785189151764,True,3,4
Noah surprised Iris at the party. He baked a cake for,Noah,Iris,He,2.513517379760742,0.014622308313846588,0.0011841567466035485,True,6,5
Amy recommended Bob for the job. She wrote a reference for,Amy,Bob,She,3.2728004455566406,0.31435877084732056,0.011914242058992386,True,1,6
Noah met Gina at the store. He bought a gift for,Noah,Gina,He,1.6911067962646484,0.019087811931967735,0.0035181778948754072,True,4,0
Gina visited Derek at home. She brought flowers for,Gina,Derek,She,7.068696022033691,0.16460277140140533,0.00014013334293849766,True,2,1
Fred called Amy on the phone. He left a message for,Fred,Amy,He,3.4445533752441406,0.10146866738796234,0.0032387797255069017,True,2,2
Alice helped Liam move. She carried the boxes for,Alice,Liam,She,1.1174201965332031,0.06975020468235016,0.022816870361566544,True,4,3
Xander thanked Kate warmly. He wrote a letter for,Xander,Kate,He,7.8186821937561035,0.18204961717128754,7.321151497308165e-05,True,2,4
Iris surprised Xander at the party. She baked a cake for,Iris,Xander,She,2.500096321105957,0.026419179514050484,0.002168409526348114,True,4,5
Frank recommended Olivia for the job. He wrote a reference for,Frank,Olivia,He,2.5353965759277344,0.1575804352760315,0.012485144659876823,True,2,6
Mia met Zach at the store. She bought a gift for,Mia,Zach,She,2.785015106201172,0.08294972777366638,0.0051203337498009205,True,3,0
Sam visited Alice at home. He brought flowers for,Sam,Alice,He,3.2300662994384766,0.17892469465732574,0.007077344227582216,True,2,1
Rose called Henry on the phone. She left a message for,Rose,Henry,She,2.9070730209350586,0.1292518526315689,0.007061728276312351,True,2,2
Frank helped Tara move. He carried the boxes for,Frank,Tara,He,4.072345733642578,0.19790369272232056,0.003371759783476591,True,2,3
Clara thanked Zach warmly. She wrote a letter for,Clara,Zach,She,7.084092140197754,0.11078274995088577,9.28731169551611e-05,True,2,4
Noah surprised Gina at the party. He baked a cake for,Noah,Gina,He,1.0250053405761719,0.00950614083558321,0.0034107514657080173,True,8,5
Alice recommended Paul for the job. She wrote a reference for,Alice,Paul,She,1.6937170028686523,0.10631759464740753,0.01954488828778267,True,4,6
Frank met Iris at the store. He bought a gift for,Frank,Iris,He,2.4922399520874023,0.10833515971899033,0.008961967192590237,True,2,0
Emma visited Brian at home. She brought flowers for,Emma,Brian,She,4.589641571044922,0.25520390272140503,0.002591978060081601,True,1,1
Fred called Clara on the phone. He left a message for,Fred,Clara,He,1.9515743255615234,0.06400390714406967,0.009091771207749844,True,2,2
Mia helped Liam move. She carried the boxes for,Mia,Liam,She,5.439235687255859,0.09839777648448944,0.0004273219674360007,True,2,3
Zach thanked Iris warmly. He wrote a letter for,Zach,Iris,He,6.107758522033691,0.23133660852909088,0.0005148474010638893,True,2,4
Kate surprised Frank at the party. She baked a cake for,Kate,Frank,She,0.8567571640014648,0.06550431251525879,0.02780897729098797,True,3,5
Liam recommended Tara for the job. He wrote a reference for,Liam,Tara,He,2.847018241882324,0.2029973864555359,0.011777310632169247,True,2,6
Iris met Liam at the store. She bought a gift for,Iris,Liam,She,0.22729110717773438,0.009821944870054722,0.007825033739209175,True,8,0
Brian visited Kate at home. He brought flowers for,Brian,Kate,He,2.8686819076538086,0.12020304054021835,0.006824372801929712,True,3,1
