prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_token_id_proxy,s_token_id_proxy,io_name_is_multi_token,s_name_is_multi_token,proxy_used,proxy_collapsed,logit_io_proxy,logit_s_proxy,logit_diff_proxy,prob_io_proxy,prob_s_proxy,is_correct,rank_io_proxy,top_5_predictions,top_5_logits,seq_length_tokens,language
"When David and Henry visited the restaurant, Henry handed the letter to","When David and Harry visited the restaurant, Harry handed the letter to",David,Henry,Harry,ABB,0,the restaurant,letter,6798,17599,False,False,False,False,15.827424,10.690141,5.137283,0.35419738,0.00208042,True,1,David | the | his | a | him,15.8274 | 15.1756 | 14.1526 | 13.8468 | 13.2576,14,english
"While Bob and Kate were at the gym, Bob delivered the map to","While Carol and Kate were at the gym, Carol delivered the map to",Kate,Bob,Carol,BAB,1,the gym,map,29201,14261,False,False,False,False,15.78896,11.876244,3.912716,0.36432767,0.00728151,True,1,Kate | the | his | a | their,15.7890 | 15.2605 | 13.7911 | 13.0516 | 12.7665,15,english
"When Isla and Ella arrived at the hospital, Ella passed the wallet to","When Isla and Wendy arrived at the hospital, Wendy passed the wallet to",Isla,Ella,Wendy,ABB,2,the hospital,wallet,2160,77796,True,False,True,False,17.910469,7.880913,10.029556,0.861359,3.797e-05,True,1,Is | her | I | the | a,17.9105 | 14.7691 | 14.0749 | 13.5344 | 12.7390,16,english
"When Clara and Kate went to the museum, Clara gave the package to","When Derek and Kate went to the museum, Derek gave the package to",Kate,Clara,Derek,BAB,0,the museum,package,29201,50557,False,False,False,False,16.948917,10.93483,6.014088,0.63335687,0.00154797,True,1,Kate | her | the | a | ,16.9489 | 14.7474 | 14.4617 | 13.9127 | 13.4250,15,english
"After Grace and Victor left the school, Victor sent the card to","After Grace and Sam left the school, Sam sent the card to",Grace,Victor,Sam,ABB,3,the school,card,31071,32312,False,False,False,False,14.240725,9.561319,4.679405,0.19526055,0.0018129,True,1,Grace | his | the | Mary | ,14.2407 | 14.0578 | 13.0373 | 11.4312 | 11.1824,14,english
"When Kate and Clara went to the hospital, Kate gave the phone to","When Olivia and Clara went to the hospital, Olivia gave the phone to",Clara,Kate,Olivia,BAB,0,the hospital,phone,50557,29201,False,False,False,False,17.371281,10.332352,7.038929,0.740641,0.00064959,True,1,Clara | her | the | a | someone,17.3713 | 15.1019 | 14.1533 | 13.5662 | 12.5716,15,english
"As Xander and Isla walked through the station, Xander offered the ticket to","As Carol and Isla walked through the station, Carol offered the ticket to",Isla,Xander,Carol,BAB,6,the station,ticket,2160,1599,True,True,True,False,16.236254,9.962667,6.273586,0.67153025,0.00126614,True,1,Is | the | his | her | a,16.2363 | 13.6843 | 13.5511 | 13.4339 | 11.8685,18,english
"After Emma and Victor left the gym, Emma sent the bag to","After Liam and Victor left the gym, Liam sent the bag to",Victor,Emma,Liam,BAB,3,the gym,bag,32312,34935,False,False,False,False,13.192478,12.112751,1.079727,0.06517845,0.02214035,True,3,her | the | Victor | their | Emma,14.4438 | 14.0562 | 13.1925 | 12.3348 | 12.1128,14,english
"When Isla and Liam visited the station, Liam handed the ticket to","When Isla and Mia visited the station, Mia handed the ticket to",Isla,Liam,Mia,ABB,1,the station,ticket,2160,60642,True,False,True,False,16.803442,8.846369,7.957073,0.63052887,0.0002208,True,1,Is | the | his | a | her,16.8034 | 15.0622 | 14.0155 | 13.7164 | 13.0681,15,english
"While Paul and Rose were at the park, Paul brought the book to","While Zach and Rose were at the park, Zach brought the book to",Rose,Paul,Zach,BAB,4,the park,book,15964,6898,False,False,False,False,13.355259,8.902645,4.452614,0.05123622,0.0005968,True,4,the | read | his | Rose | school,15.1173 | 14.0742 | 13.6944 | 13.3553 | 13.1412,15,english
"When Brian and Alice arrived at the store, Alice passed the key to","When Brian and Gina arrived at the store, Gina passed the key to",Brian,Alice,Gina,BAB,2,the store,key,17083,29405,False,False,False,False,15.496279,10.950807,4.545472,0.11836233,0.00125644,True,3,the | her | Brian | a | their,16.7459 | 15.9184 | 15.4963 | 15.2391 | 14.2297,15,english
