prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_token_id_proxy,s_token_id_proxy,io_name_is_multi_token,s_name_is_multi_token,proxy_used,proxy_collapsed,logit_io_proxy,logit_s_proxy,logit_diff_proxy,prob_io_proxy,prob_s_proxy,is_correct,rank_io_proxy,top_5_predictions,top_5_logits,seq_length_tokens,language
যেতিয়া ৰাম আৰু গীতা পাৰ্ক গৈছিল, গীতা ৰে কিতাপ দিলে,ৰাম,শ্যাম,গীতা,ABB,0,পাৰ্ক,কিতাপ,220,35178,True,True,True,False,15.213348,16.798691,-1.585342,0.02725822,0.13304636,False,7,ে | � | । | � | া,18.1280 | 16.7987 | 16.4691 | 15.8880 | 15.7121,40,assamese
যেতিয়া সীতা আৰু ৰবি দোকান পাইছিল, ৰবি ৰে উপহাৰ দিলে,সীতা,মোহন,ৰবি,ABB,1,দোকান,উপহাৰ,35178,35178,True,True,True,True,16.952087,16.952087,0.0,0.12316509,0.12316509,False,3,"ে | । | � | , | ",18.4175 | 17.0523 | 16.9521 | 15.8265 | 15.6506,40,assamese
যেতিয়া গীতা আৰু কমল হাস্পতাল আহিছিল, কমল ৰে চিঠি পঠালে,গীতা,অনিল,কমল,ABB,2,হাস্পতাল,চিঠি,35178,35178,True,True,True,True,17.813414,17.813414,0.0,0.29234588,0.29234588,False,1,"� | ে | । | , | ",17.8134 | 17.7450 | 17.6805 | 16.0777 | 15.2952,41,assamese
যেতিয়া বিজয় আৰু প্ৰিয়া বিদ্যালয় এৰিছিল, প্ৰিয়া ৰে মোনা দি গৈছিল,বিজয়,দেৱী,প্ৰিয়া,ABB,3,বিদ্যালয়,মোনা,35178,35178,True,True,True,True,16.639713,16.639713,0.0,0.16518889,0.16518889,False,2,ে | � | । | � | া,17.5229 | 16.6397 | 16.3759 | 15.7884 | 15.6195,51,assamese
যেতিয়া প্ৰিয়া আৰু নীতা বজাৰ গৈছিল, নীতা ৰে টিকট দিলে,প্ৰিয়া,ৰোহান,নীতা,ABB,0,বজাৰ,টিকট,35178,220,True,True,True,False,16.774609,14.449284,2.325325,0.13263428,0.01296522,True,3,"ে | । | � | া� | ,",18.0625 | 16.9003 | 16.7746 | 15.7081 | 15.5429,44,assamese
যেতিয়া কমল আৰু বিজয় সংগ্ৰহালয় পাইছিল, বিজয় ৰে কাৰ্ড দিলে,কমল,অৰ্জুন,বিজয়,ABB,1,সংগ্ৰহালয়,কাৰ্ড,35178,35178,True,True,True,True,17.405632,17.405632,0.0,0.14220275,0.14220275,False,3,"ে | । | � | , | �",18.5923 | 17.8323 | 17.4056 | 16.2087 | 15.8059,47,assamese
যেতিয়া ৰবি আৰু গীতা ষ্টেচন আহিছিল, গীতা ৰে কলম পঠালে,ৰবি,সুনীতা,গীতা,ABB,2,ষ্টেচন,কলম,220,35178,True,True,True,False,15.64769,17.352203,-1.704514,0.05610969,0.3085309,False,4,"� | ে | । |  | ,",17.3522 | 17.1721 | 16.6485 | 15.6477 | 15.5691,40,assamese
যেতিয়া অনিল আৰু ৰাম পাৰ্ক এৰিছিল, ৰাম ৰে ফোন দি গৈছিল,অনিল,নীতা,ৰাম,ABB,3,পাৰ্ক,ফোন,35178,35178,True,True,True,True,16.504156,16.504156,0.0,0.20528445,0.20528445,False,2,ে | � | । | � | া,16.7689 | 16.5042 | 16.1769 | 15.5728 | 15.4259,40,assamese
যেতিয়া সুনীতা আৰু শ্যাম কাৰ্যালয় গৈছিল, শ্যাম ৰে কিতাপ দিলে,সুনীতা,মোহন,শ্যাম,ABB,0,কাৰ্যালয়,কিতাপ,35178,35178,True,True,True,True,16.744164,16.744164,0.0,0.13964826,0.13964826,False,3,ে | । | � | া� | �,18.0383 | 16.8507 | 16.7442 | 15.6512 | 15.2519,49,assamese
যেতিয়া দেৱী আৰু অনিল ৰেষ্টোৰেঁ পাইছিল, অনিল ৰে উপহাৰ দিলে,দেৱী,ৰাম,অনিল,ABB,1,ৰেষ্টোৰেঁ,উপহাৰ,35178,220,True,True,True,False,16.49827,15.62348,0.87479,0.10884823,0.04538421,True,2,ে | � | । | � | ,18.0289 | 16.4983 | 16.4524 | 16.2206 | 15.6235,48,assamese
যেতিয়া ৰোহান আৰু সীতা পুথিভঁৰাল আহিছিল, সীতা ৰে পেকেজ পঠালে,ৰোহান,কমল,সীতা,ABB,2,পুথিভঁৰাল,পেকেজ,220,35178,True,True,True,False,15.596533,17.08362,-1.487087,0.04849479,0.21455017,False,5,"ে | � | । | , | ",17.5735 | 17.0836 | 16.7083 | 15.6630 | 15.5965,49,assamese
যেতিয়া নীতা আৰু মোহন দোকান এৰিছিল, মোহন ৰে চাবি দি গৈছিল,নীতা,বিজয়,মোহন,ABB,3,দোকান,চাবি,35178,35178,True,True,True,True,16.507919,16.507919,0.0,0.15429148,0.15429148,False,2,ে | � | । | া | �,17.4522 | 16.5079 | 16.2144 | 15.7821 | 15.6526,42,assamese
যেতিয়া অৰ্জুন আৰু সুনীতা হাস্পতাল গৈছিল, সুনীতা ৰে টিকট দিলে,অৰ্জুন,প্ৰিয়া,সুনীতা,ABB,0,হাস্পতাল,টিকট,35178,35178,True,True,True,True,17.126583,17.126583,0.0,0.14860241,0.14860241,False,3,"ে | । | � | া� | ,",18.3122 | 17.4831 | 17.1266 | 15.7223 | 15.5586,49,assamese
যেতিয়া ৰাম আৰু শ্যাম বিদ্যালয় গৈছিল, ৰাম ৰে ফোন দিলে,শ্যাম,গীতা,ৰাম,BAB,0,বিদ্যালয়,ফোন,35178,35178,True,True,True,True,16.669964,16.669964,0.0,0.14071152,0.14071152,False,2,ে | � | । | � | া�,17.9784 | 16.6700 | 16.2171 | 15.8168 | 15.5293,44,assamese
