prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_token_id,s_token_id
যেতিয়া ৰাম আৰু শ্যাম পাৰ্ক গৈছিল, শ্যাম ৰে কিতাপ দিলে,যেতিয়া ৰাম আৰু গীতা পাৰ্ক গৈছিল, গীতা ৰে কিতাপ দিলে,ৰাম,শ্যাম,গীতা,ABB,0,পাৰ্ক,কিতাপ,-1,-1
যেতিয়া সীতা আৰু মোহন দোকান পাইছিল, মোহন ৰে উপহাৰ দিলে,যেতিয়া সীতা আৰু ৰবি দোকান পাইছিল, ৰবি ৰে উপহাৰ দিলে,সীতা,মোহন,ৰবি,ABB,1,দোকান,উপহাৰ,-1,-1
যেতিয়া গীতা আৰু অনিল হাস্পতাল আহিছিল, অনিল ৰে চিঠি পঠালে,যেতিয়া গীতা আৰু কমল হাস্পতাল আহিছিল, কমল ৰে চিঠি পঠালে,গীতা,অনিল,কমল,ABB,2,হাস্পতাল,চিঠি,-1,-1
যেতিয়া বিজয় আৰু দেৱী বিদ্যালয় এৰিছিল, দেৱী ৰে মোনা দি গৈছিল,যেতিয়া বিজয় আৰু প্ৰিয়া বিদ্যালয় এৰিছিল, প্ৰিয়া ৰে মোনা দি গৈছিল,বিজয়,দেৱী,প্ৰিয়া,ABB,3,বিদ্যালয়,মোনা,-1,-1
যেতিয়া প্ৰিয়া আৰু ৰোহান বজাৰ গৈছিল, ৰোহান ৰে টিকট দিলে,যেতিয়া প্ৰিয়া আৰু নীতা বজাৰ গৈছিল, নীতা ৰে টিকট দিলে,প্ৰিয়া,ৰোহান,নীতা,ABB,0,বজাৰ,টিকট,-1,-1
যেতিয়া কমল আৰু অৰ্জুন সংগ্ৰহালয় পাইছিল, অৰ্জুন ৰে কাৰ্ড দিলে,যেতিয়া কমল আৰু বিজয় সংগ্ৰহালয় পাইছিল, বিজয় ৰে কাৰ্ড দিলে,কমল,অৰ্জুন,বিজয়,ABB,1,সংগ্ৰহালয়,কাৰ্ড,-1,-1
যেতিয়া ৰবি আৰু সুনীতা ষ্টেচন আহিছিল, সুনীতা ৰে কলম পঠালে,যেতিয়া ৰবি আৰু গীতা ষ্টেচন আহিছিল, গীতা ৰে কলম পঠালে,ৰবি,সুনীতা,গীতা,ABB,2,ষ্টেচন,কলম,-1,-1
যেতিয়া অনিল আৰু নীতা পাৰ্ক এৰিছিল, নীতা ৰে ফোন দি গৈছিল,যেতিয়া অনিল আৰু ৰাম পাৰ্ক এৰিছিল, ৰাম ৰে ফোন দি গৈছিল,অনিল,নীতা,ৰাম,ABB,3,পাৰ্ক,ফোন,-1,-1
যেতিয়া সুনীতা আৰু মোহন কাৰ্যালয় গৈছিল, মোহন ৰে কিতাপ দিলে,যেতিয়া সুনীতা আৰু শ্যাম কাৰ্যালয় গৈছিল, শ্যাম ৰে কিতাপ দিলে,সুনীতা,মোহন,শ্যাম,ABB,0,কাৰ্যালয়,কিতাপ,-1,-1
যেতিয়া দেৱী আৰু ৰাম ৰেষ্টোৰেঁ পাইছিল, ৰাম ৰে উপহাৰ দিলে,যেতিয়া দেৱী আৰু অনিল ৰেষ্টোৰেঁ পাইছিল, অনিল ৰে উপহাৰ দিলে,দেৱী,ৰাম,অনিল,ABB,1,ৰেষ্টোৰেঁ,উপহাৰ,-1,-1
