prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_num_tokens,s_num_tokens,io_token_ids,s_token_ids,logprob_io_total,logprob_s_total,logprob_diff_total,logprob_io_avg,logprob_s_avg,logprob_diff_avg,is_correct,is_correct_avg,language
যেতিয়া ৰাম আৰু গীতা পাৰ্ক গৈছিল, গীতা ৰে কিতাপ দিলে,ৰাম,শ্যাম,গীতা,ABB,0,পাৰ্ক,কিতাপ,5,6,"[220, 26927, 108, 49128, 106]","[35178, 114, 52806, 107, 49128, 106]",-6.723863,-13.899929,7.176066,-1.344773,-2.316655,0.971882,True,True,assamese
যেতিয়া সীতা আৰু ৰবি দোকান পাইছিল, ৰবি ৰে উপহাৰ দিলে,সীতা,মোহন,ৰবি,ABB,1,দোকান,উপহাৰ,6,6,"[35178, 116, 26927, 222, 147645, 41312]","[35178, 106, 26927, 233, 148291, 86548]",-8.820139,-14.044368,5.224229,-1.470023,-2.340728,0.870705,True,True,assamese
যেতিয়া গীতা আৰু কমল হাস্পতাল আহিছিল, কমল ৰে চিঠি পঠালে,গীতা,অনিল,কমল,ABB,2,হাস্পতাল,চিঠি,6,5,"[35178, 245, 26927, 222, 147645, 41312]","[35178, 227, 86548, 80178, 110]",-7.971232,-15.469175,7.497943,-1.328539,-3.093835,1.765296,True,True,assamese
যেতিয়া বিজয় আৰু প্ৰিয়া বিদ্যালয় এৰিছিল, প্ৰিয়া ৰে মোনা দি গৈছিল,বিজয়,দেৱী,প্ৰিয়া,ABB,3,বিদ্যালয়,মোনা,7,7,"[35178, 105, 80178, 250, 146834, 11125, 120]","[35178, 99, 58908, 26927, 109, 26927, 222]",-6.688608,-21.398335,14.709727,-0.955515,-3.056905,2.10139,True,True,assamese
যেতিয়া প্ৰিয়া আৰু নীতা বজাৰ গৈছিল, নীতা ৰে টিকট দিলে,প্ৰিয়া,ৰোহান,নীতা,ABB,0,বজাৰ,টিকট,10,8,"[35178, 103, 52595, 26927, 108, 80178, 107, 11125, 120, 41312]","[220, 26927, 108, 26927, 233, 148291, 49128, 101]",-7.004084,-21.177148,14.173064,-0.700408,-2.647143,1.946735,True,True,assamese
যেতিয়া কমল আৰু বিজয় সংগ্ৰহালয় পাইছিল, বিজয় ৰে কাৰ্ড দিলে,কমল,অৰ্জুন,বিজয়,ABB,1,সংগ্ৰহালয়,কাৰ্ড,4,9,"[35178, 243, 146415, 146227]","[35178, 227, 26927, 108, 52806, 250, 26927, 223, 86548]",-10.194467,-20.853639,10.659172,-2.548617,-2.317071,-0.231546,True,False,assamese
যেতিয়া ৰবি আৰু গীতা ষ্টেচন আহিছিল, গীতা ৰে কলম পঠালে,ৰবি,সুনীতা,গীতা,ABB,2,ষ্টেচন,কলম,5,9,"[220, 26927, 108, 146026, 61356]","[35178, 116, 26927, 223, 86548, 26927, 222, 147645, 41312]",-8.560451,-18.41028,9.849829,-1.71209,-2.045587,0.333496,True,True,assamese
যেতিয়া অনিল আৰু ৰাম পাৰ্ক এৰিছিল, ৰাম ৰে ফোন দি গৈছিল,অনিল,নীতা,ৰাম,ABB,3,পাৰ্ক,ফোন,5,6,"[35178, 227, 86548, 80178, 110]","[35178, 101, 26927, 222, 147645, 41312]",-7.884043,-14.252703,6.36866,-1.576809,-2.37545,0.798642,True,True,assamese
যেতিয়া সুনীতা আৰু শ্যাম কাৰ্যালয় গৈছিল, শ্যাম ৰে কিতাপ দিলে,সুনীতা,মোহন,শ্যাম,ABB,0,কাৰ্যালয়,কিতাপ,9,6,"[35178, 116, 26927, 223, 86548, 26927, 222, 147645, 41312]","[35178, 106, 26927, 233, 148291, 86548]",-9.796399,-13.962448,4.166049,-1.088489,-2.327075,1.238586,True,True,assamese
যেতিয়া দেৱী আৰু অনিল ৰেষ্টোৰেঁ পাইছিল, অনিল ৰে উপহাৰ দিলে,দেৱী,ৰাম,অনিল,ABB,1,ৰেষ্টোৰেঁ,উপহাৰ,7,5,"[35178, 99, 58908, 26927, 109, 26927, 222]","[220, 26927, 108, 49128, 106]",-8.948375,-9.091702,0.143328,-1.278339,-1.81834,0.540001,True,True,assamese
যেতিয়া ৰোহান আৰু সীতা পুথিভঁৰাল আহিছিল, সীতা ৰে পেকেজ পঠালে,ৰোহান,কমল,সীতা,ABB,2,পুথিভঁৰাল,পেকেজ,8,4,"[220, 26927, 108, 26927, 233, 148291, 49128, 101]","[35178, 243, 146415, 146227]",-7.324644,-13.341779,6.017134,-0.915581,-3.335445,2.419864,True,True,assamese
যেতিয়া নীতা আৰু মোহন দোকান এৰিছিল, মোহন ৰে চাবি দি গৈছিল,নীতা,বিজয়,মোহন,ABB,3,দোকান,চাবি,6,7,"[35178, 101, 26927, 222, 147645, 41312]","[35178, 105, 80178, 250, 146834, 11125, 120]",-8.237687,-10.862897,2.62521,-1.372948,-1.551842,0.178895,True,True,assamese
যেতিয়া অৰ্জুন আৰু সুনীতা হাস্পতাল গৈছিল, সুনীতা ৰে টিকট দিলে,অৰ্জুন,প্ৰিয়া,সুনীতা,ABB,0,হাস্পতাল,টিকট,9,10,"[35178, 227, 26927, 108, 52806, 250, 26927, 223, 86548]","[35178, 103, 52595, 26927, 108, 80178, 107, 11125, 120, 41312]",-9.865744,-14.769304,4.90356,-1.096194,-1.47693,0.380737,True,True,assamese
যেতিয়া ৰাম আৰু শ্যাম বিদ্যালয় গৈছিল, ৰাম ৰে ফোন দিলে,শ্যাম,গীতা,ৰাম,BAB,0,বিদ্যালয়,ফোন,6,6,"[35178, 114, 52806, 107, 49128, 106]","[35178, 245, 26927, 222, 147645, 41312]",-7.331681,-14.67623,7.344549,-1.221947,-2.446038,1.224092,True,True,assamese
যেতিয়া দেৱী আৰু মোহন বজাৰ পাইছিল, দেৱী ৰে কলম দিলে,মোহন,সীতা,দেৱী,BAB,1,বজাৰ,কলম,6,6,"[35178, 106, 26927, 233, 148291, 86548]","[35178, 116, 26927, 222, 147645, 41312]",-7.870502,-13.889644,6.019142,-1.31175,-2.314941,1.00319,True,True,assamese
যেতিয়া প্ৰিয়া আৰু ৰবি সংগ্ৰহালয় আহিছিল, প্ৰিয়া ৰে কাৰ্ড পঠালে,ৰবি,ৰাম,প্ৰিয়া,BAB,2,সংগ্ৰহালয়,কাৰ্ড,5,5,"[220, 26927, 108, 146026, 61356]","[220, 26927, 108, 49128, 106]",-10.635731,-10.96613,0.330399,-2.127146,-2.193226,0.06608,True,True,assamese
যেতিয়া ৰোহান আৰু গীতা ষ্টেচন এৰিছিল, ৰোহান ৰে মোনা দি গৈছিল,গীতা,সুনীতা,ৰোহান,BAB,3,ষ্টেচন,মোনা,6,9,"[35178, 245, 26927, 222, 147645, 41312]","[35178, 116, 26927, 223, 86548, 26927, 222, 147645, 41312]",-7.419369,-18.158439,10.739069,-1.236562,-2.017604,0.781043,True,True,assamese
যেতিয়া অনিল আৰু কমল কাৰ্যালয় গৈছিল, অনিল ৰে চিঠি দিলে,কমল,বিজয়,অনিল,BAB,0,কাৰ্যালয়,চিঠি,4,7,"[35178, 243, 146415, 146227]","[35178, 105, 80178, 250, 146834, 11125, 120]",-10.309039,-11.454999,1.14596,-2.57726,-1.636428,-0.940831,True,False,assamese
যেতিয়া কমল আৰু সীতা ৰেষ্টোৰেঁ পাইছিল, কমল ৰে উপহাৰ দিলে,সীতা,অৰ্জুন,কমল,BAB,1,ৰেষ্টোৰেঁ,উপহাৰ,6,9,"[35178, 116, 26927, 222, 147645, 41312]","[35178, 227, 26927, 108, 52806, 250, 26927, 223, 86548]",-9.189807,-18.094775,8.904968,-1.531634,-2.010531,0.478896,True,True,assamese
যেতিয়া মোহন আৰু নীতা পাৰ্ক আহিছিল, মোহন ৰে কিতাপ পঠালে,নীতা,প্ৰিয়া,মোহন,BAB,2,পাৰ্ক,কিতাপ,6,10,"[35178, 101, 26927, 222, 147645, 41312]","[35178, 103, 52595, 26927, 108, 80178, 107, 11125, 120, 41312]",-8.169793,-13.63755,5.467757,-1.361632,-1.363755,0.002123,True,True,assamese
যেতিয়া সুনীতা আৰু দেৱী পুথিভঁৰাল এৰিছিল, সুনীতা ৰে টিকট দি গৈছিল,দেৱী,ৰোহান,সুনীতা,BAB,3,পুথিভঁৰাল,টিকট,7,8,"[35178, 99, 58908, 26927, 109, 26927, 222]","[220, 26927, 108, 26927, 233, 148291, 49128, 101]",-8.256642,-17.159496,8.902854,-1.17952,-2.144937,0.965417,True,True,assamese
যেতিয়া শ্যাম আৰু অনিল দোকান গৈছিল, শ্যাম ৰে চাবি দিলে,অনিল,ৰবি,শ্যাম,BAB,0,দোকান,চাবি,5,5,"[35178, 227, 86548, 80178, 110]","[220, 26927, 108, 146026, 61356]",-11.188953,-19.788773,8.599821,-2.237791,-3.957755,1.719964,True,True,assamese
যেতিয়া অৰ্জুন আৰু সুনীতা বজাৰ পাইছিল, অৰ্জুন ৰে ফোন দিলে,সুনীতা,কমল,অৰ্জুন,BAB,1,বজাৰ,ফোন,9,4,"[35178, 116, 26927, 223, 86548, 26927, 222, 147645, 41312]","[35178, 243, 146415, 146227]",-9.863178,-14.537143,4.673966,-1.095909,-3.634286,2.538377,True,True,assamese
যেতিয়া গীতা আৰু ৰাম ষ্টেচন আহিছিল, গীতা ৰে উপহাৰ পঠালে,ৰাম,নীতা,গীতা,BAB,2,ষ্টেচন,উপহাৰ,5,6,"[220, 26927, 108, 49128, 106]","[35178, 101, 26927, 222, 147645, 41312]",-7.033689,-13.847654,6.813964,-1.406738,-2.307942,0.901204,True,True,assamese
যেতিয়া সীতা আৰু শ্যাম ৰেষ্টোৰেঁ এৰিছিল, সীতা ৰে চিঠি দি গৈছিল,শ্যাম,দেৱী,সীতা,BAB,3,ৰেষ্টোৰেঁ,চিঠি,6,7,"[35178, 114, 52806, 107, 49128, 106]","[35178, 99, 58908, 26927, 109, 26927, 222]",-6.766356,-19.481353,12.714997,-1.127726,-2.78305,1.655324,True,True,assamese
