layer,component,ablated_ld,baseline_ld,ld_drop,ld_drop_norm,is_critical
0,attn,3.251892,3.226185,-0.025707,-0.007968,False
0,mlp,1.472874,3.226185,1.753311,0.543463,True
0,full_layer,0.552457,3.226185,2.673729,0.828759,True
1,attn,3.3114,3.226185,-0.085215,-0.026413,False
1,mlp,3.268031,3.226185,-0.041845,-0.012971,False
1,full_layer,3.292347,3.226185,-0.066161,-0.020508,False
2,attn,3.401881,3.226185,-0.175695,-0.054459,False
2,mlp,3.19597,3.226185,0.030215,0.009366,False
2,full_layer,3.24907,3.226185,-0.022885,-0.007093,False
3,attn,3.009721,3.226185,0.216464,0.067096,False
3,mlp,3.395436,3.226185,-0.16925,-0.052461,False
3,full_layer,3.004171,3.226185,0.222015,0.068816,False
4,attn,3.164038,3.226185,0.062148,0.019264,False
4,mlp,3.14495,3.226185,0.081236,0.02518,False
4,full_layer,2.982232,3.226185,0.243953,0.075617,False
5,attn,2.580878,3.226185,0.645307,0.200022,True
5,mlp,2.741502,3.226185,0.484683,0.150234,True
5,full_layer,1.750089,3.226185,1.476096,0.457536,True
6,attn,2.640831,3.226185,0.585354,0.181439,True
6,mlp,3.06882,3.226185,0.157365,0.048777,False
6,full_layer,2.55757,3.226185,0.668616,0.207247,True
7,attn,2.069136,3.226185,1.15705,0.358643,True
7,mlp,3.295552,3.226185,-0.069367,-0.021501,False
7,full_layer,1.838281,3.226185,1.387904,0.4302,True
8,attn,1.51014,3.226185,1.716046,0.531912,True
8,mlp,3.65958,3.226185,-0.433395,-0.134337,False
8,full_layer,1.766128,3.226185,1.460058,0.452565,True
9,attn,3.305993,3.226185,-0.079807,-0.024737,False
9,mlp,3.319892,3.226185,-0.093706,-0.029046,False
9,full_layer,3.493893,3.226185,-0.267708,-0.08298,False
10,attn,3.632687,3.226185,-0.406501,-0.126001,False
10,mlp,3.326102,3.226185,-0.099916,-0.03097,False
10,full_layer,3.805805,3.226185,-0.57962,-0.179661,False
11,attn,4.397709,3.226185,-1.171524,-0.36313,False
11,mlp,3.381253,3.226185,-0.155068,-0.048065,False
11,full_layer,5.758358,3.226185,-2.532172,-0.784881,False
