prompt,speaker_name,recipient_name,pronoun,template_idx,target_token_id,foil_token_id,speaker_gender
Clara met Henry at the store. She bought a gift for,Clara,Henry,She,0,8616,27443,F
Sam visited Iris at home. He brought flowers for,Sam,Iris,He,1,34230,3409,M
Grace called Henry on the phone. She left a message for,Grace,Henry,She,2,8616,16156,F
Frank helped Amy move. He carried the boxes for,Frank,Amy,He,3,14235,5278,M
Alice thanked Bob warmly. She wrote a letter for,Alice,Bob,She,4,5811,14862,F
Noah surprised Iris at the party. He baked a cake for,Noah,Iris,He,5,34230,18394,M
Amy recommended Bob for the job. She wrote a reference for,Amy,Bob,She,6,5811,14235,F
Noah met Gina at the store. He bought a gift for,Noah,Gina,He,0,43002,18394,M
Gina visited Derek at home. She brought flowers for,Gina,Derek,She,1,20893,43002,F
Fred called Amy on the phone. He left a message for,Fred,Amy,He,2,14235,8559,M
Alice helped Liam move. She carried the boxes for,Alice,Liam,She,3,31684,14862,F
Xander thanked Kate warmly. He wrote a letter for,Xander,Kate,He,4,16693,46122,M
Iris surprised Xander at the party. She baked a cake for,Iris,Xander,She,5,46122,34230,F
Frank recommended Olivia for the job. He wrote a reference for,Frank,Olivia,He,6,33911,5278,M
Mia met Zach at the store. She bought a gift for,Mia,Zach,She,0,18825,32189,F
Sam visited Alice at home. He brought flowers for,Sam,Alice,He,1,14862,3409,M
Rose called Henry on the phone. She left a message for,Rose,Henry,She,2,8616,8049,F
Frank helped Tara move. He carried the boxes for,Frank,Tara,He,3,37723,5278,M
Clara thanked Zach warmly. She wrote a letter for,Clara,Zach,She,4,18825,27443,F
Noah surprised Gina at the party. He baked a cake for,Noah,Gina,He,5,43002,18394,M
Alice recommended Paul for the job. She wrote a reference for,Alice,Paul,She,6,3362,14862,F
Frank met Iris at the store. He bought a gift for,Frank,Iris,He,0,34230,5278,M
Emma visited Brian at home. She brought flowers for,Emma,Brian,She,1,8403,18966,F
Fred called Clara on the phone. He left a message for,Fred,Clara,He,2,27443,8559,M
Mia helped Liam move. She carried the boxes for,Mia,Liam,She,3,31684,32189,F
Zach thanked Iris warmly. He wrote a letter for,Zach,Iris,He,4,34230,18825,M
Kate surprised Frank at the party. She baked a cake for,Kate,Frank,She,5,5278,16693,F
Liam recommended Tara for the job. He wrote a reference for,Liam,Tara,He,6,37723,31684,M
Iris met Liam at the store. She bought a gift for,Iris,Liam,She,0,31684,34230,F
Brian visited Kate at home. He brought flowers for,Brian,Kate,He,1,16693,8403,M
Clara called Paul on the phone. She left a message for,Clara,Paul,She,2,3362,27443,F
Xander helped Alice move. He carried the boxes for,Xander,Alice,He,3,14862,46122,M
Alice thanked Xander warmly. She wrote a letter for,Alice,Xander,She,4,46122,14862,F
Sam surprised Emma at the party. He baked a cake for,Sam,Emma,He,5,18966,3409,M
Amy recommended Xander for the job. She wrote a reference for,Amy,Xander,She,6,46122,14235,F
Harry met Olivia at the store. He bought a gift for,Harry,Olivia,He,0,33911,5850,M
Clara visited Fred at home. She brought flowers for,Clara,Fred,She,1,8559,27443,F
Sam called Grace on the phone. He left a message for,Sam,Grace,He,2,16156,3409,M
Gina helped Sam move. She carried the boxes for,Gina,Sam,She,3,3409,43002,F
Derek thanked Amy warmly. He wrote a letter for,Derek,Amy,He,4,14235,20893,M
Mia surprised Paul at the party. She baked a cake for,Mia,Paul,She,5,3362,32189,F
Harry recommended Emma for the job. He wrote a reference for,Harry,Emma,He,6,18966,5850,M
Alice met Henry at the store. She bought a gift for,Alice,Henry,She,0,8616,14862,F
Liam visited Clara at home. He brought flowers for,Liam,Clara,He,1,27443,31684,M
Amy called Frank on the phone. She left a message for,Amy,Frank,She,2,5278,14235,F
Brian helped Amy move. He carried the boxes for,Brian,Amy,He,3,14235,8403,M
Tara thanked Sam warmly. She wrote a letter for,Tara,Sam,She,4,3409,37723,F
Bob surprised Clara at the party. He baked a cake for,Bob,Clara,He,5,27443,5811,M
Emma recommended Sam for the job. She wrote a reference for,Emma,Sam,She,6,3409,18966,F
Xander met Emma at the store. He bought a gift for,Xander,Emma,He,0,18966,46122,M
Olivia visited Liam at home. She brought flowers for,Olivia,Liam,She,1,31684,33911,F
Bob called Gina on the phone. He left a message for,Bob,Gina,He,2,43002,5811,M
Gina helped Sam move. She carried the boxes for,Gina,Sam,She,3,3409,43002,F
Liam thanked Tara warmly. He wrote a letter for,Liam,Tara,He,4,37723,31684,M
Emma surprised Victor at the party. She baked a cake for,Emma,Victor,She,5,12622,18966,F
Noah recommended Grace for the job. He wrote a reference for,Noah,Grace,He,6,16156,18394,M
Grace met Bob at the store. She bought a gift for,Grace,Bob,She,0,5811,16156,F
Xander visited Rose at home. He brought flowers for,Xander,Rose,He,1,8049,46122,M
Emma called Zach on the phone. She left a message for,Emma,Zach,She,2,18825,18966,F
Paul helped Alice move. He carried the boxes for,Paul,Alice,He,3,14862,3362,M
Amy thanked Frank warmly. She wrote a letter for,Amy,Frank,She,4,5278,14235,F
Harry surprised Emma at the party. He baked a cake for,Harry,Emma,He,5,18966,5850,M
Tara recommended Jack for the job. She wrote a reference for,Tara,Jack,She,6,3619,37723,F
Harry met Tara at the store. He bought a gift for,Harry,Tara,He,0,37723,5850,M
Kate visited Derek at home. She brought flowers for,Kate,Derek,She,1,20893,16693,F
Noah called Gina on the phone. He left a message for,Noah,Gina,He,2,43002,18394,M
Olivia helped Zach move. She carried the boxes for,Olivia,Zach,She,3,18825,33911,F
Fred thanked Emma warmly. He wrote a letter for,Fred,Emma,He,4,18966,8559,M
Iris surprised Frank at the party. She baked a cake for,Iris,Frank,She,5,5278,34230,F
Bob recommended Amy for the job. He wrote a reference for,Bob,Amy,He,6,14235,5811,M
Iris met Paul at the store. She bought a gift for,Iris,Paul,She,0,3362,34230,F
Frank visited Gina at home. He brought flowers for,Frank,Gina,He,1,43002,5278,M
Alice called Paul on the phone. She left a message for,Alice,Paul,She,2,3362,14862,F
David helped Mia move. He carried the boxes for,David,Mia,He,3,32189,3271,M
Tara thanked Paul warmly. She wrote a letter for,Tara,Paul,She,4,3362,37723,F
Harry surprised Iris at the party. He baked a cake for,Harry,Iris,He,5,34230,5850,M
Grace recommended Harry for the job. She wrote a reference for,Grace,Harry,She,6,5850,16156,F
Harry met Olivia at the store. He bought a gift for,Harry,Olivia,He,0,33911,5850,M
Emma visited Henry at home. She brought flowers for,Emma,Henry,She,1,8616,18966,F
Derek called Mia on the phone. He left a message for,Derek,Mia,He,2,32189,20893,M
Olivia helped Fred move. She carried the boxes for,Olivia,Fred,She,3,8559,33911,F
Henry thanked Alice warmly. He wrote a letter for,Henry,Alice,He,4,14862,8616,M
Gina surprised Xander at the party. She baked a cake for,Gina,Xander,She,5,46122,43002,F
Paul recommended Iris for the job. He wrote a reference for,Paul,Iris,He,6,34230,3362,M
Tara met Fred at the store. She bought a gift for,Tara,Fred,She,0,8559,37723,F
Derek visited Grace at home. He brought flowers for,Derek,Grace,He,1,16156,20893,M
Rose called Paul on the phone. She left a message for,Rose,Paul,She,2,3362,8049,F
Fred helped Tara move. He carried the boxes for,Fred,Tara,He,3,37723,8559,M
Alice thanked Bob warmly. She wrote a letter for,Alice,Bob,She,4,5811,14862,F
Paul surprised Grace at the party. He baked a cake for,Paul,Grace,He,5,16156,3362,M
Rose recommended Harry for the job. She wrote a reference for,Rose,Harry,She,6,5850,8049,F
Brian met Alice at the store. He bought a gift for,Brian,Alice,He,0,14862,8403,M
Olivia visited Bob at home. She brought flowers for,Olivia,Bob,She,1,5811,33911,F
Sam called Rose on the phone. He left a message for,Sam,Rose,He,2,8049,3409,M
Olivia helped Harry move. She carried the boxes for,Olivia,Harry,She,3,5850,33911,F
Noah thanked Kate warmly. He wrote a letter for,Noah,Kate,He,4,16693,18394,M
Alice surprised David at the party. She baked a cake for,Alice,David,She,5,3271,14862,F
David recommended Alice for the job. He wrote a reference for,David,Alice,He,6,14862,3271,M
Rose met Liam at the store. She bought a gift for,Rose,Liam,She,0,31684,8049,F
Frank visited Grace at home. He brought flowers for,Frank,Grace,He,1,16156,5278,M
Amy called Frank on the phone. She left a message for,Amy,Frank,She,2,5278,14235,F
Paul helped Olivia move. He carried the boxes for,Paul,Olivia,He,3,33911,3362,M
Amy thanked Paul warmly. She wrote a letter for,Amy,Paul,She,4,3362,14235,F
David surprised Amy at the party. He baked a cake for,David,Amy,He,5,14235,3271,M
Olivia recommended Xander for the job. She wrote a reference for,Olivia,Xander,She,6,46122,33911,F
Noah met Clara at the store. He bought a gift for,Noah,Clara,He,0,27443,18394,M
Mia visited Paul at home. She brought flowers for,Mia,Paul,She,1,3362,32189,F
Brian called Grace on the phone. He left a message for,Brian,Grace,He,2,16156,8403,M
Clara helped Victor move. She carried the boxes for,Clara,Victor,She,3,12622,27443,F
Xander thanked Emma warmly. He wrote a letter for,Xander,Emma,He,4,18966,46122,M
Rose surprised Henry at the party. She baked a cake for,Rose,Henry,She,5,8616,8049,F
Noah recommended Tara for the job. He wrote a reference for,Noah,Tara,He,6,37723,18394,M
Grace met Zach at the store. She bought a gift for,Grace,Zach,She,0,18825,16156,F
Paul visited Mia at home. He brought flowers for,Paul,Mia,He,1,32189,3362,M
Grace called Fred on the phone. She left a message for,Grace,Fred,She,2,8559,16156,F
Victor helped Amy move. He carried the boxes for,Victor,Amy,He,3,14235,12622,M
Clara thanked Bob warmly. She wrote a letter for,Clara,Bob,She,4,5811,27443,F
Victor surprised Clara at the party. He baked a cake for,Victor,Clara,He,5,27443,12622,M
Grace recommended Sam for the job. She wrote a reference for,Grace,Sam,She,6,3409,16156,F
Henry met Gina at the store. He bought a gift for,Henry,Gina,He,0,43002,8616,M
Grace visited Sam at home. She brought flowers for,Grace,Sam,She,1,3409,16156,F
Noah called Gina on the phone. He left a message for,Noah,Gina,He,2,43002,18394,M
Iris helped Sam move. She carried the boxes for,Iris,Sam,She,3,3409,34230,F
Harry thanked Kate warmly. He wrote a letter for,Harry,Kate,He,4,16693,5850,M
Alice surprised Frank at the party. She baked a cake for,Alice,Frank,She,5,5278,14862,F
Derek recommended Kate for the job. He wrote a reference for,Derek,Kate,He,6,16693,20893,M
Alice met Xander at the store. She bought a gift for,Alice,Xander,She,0,46122,14862,F
Sam visited Grace at home. He brought flowers for,Sam,Grace,He,1,16156,3409,M
Rose called Derek on the phone. She left a message for,Rose,Derek,She,2,20893,8049,F
Bob helped Emma move. He carried the boxes for,Bob,Emma,He,3,18966,5811,M
Gina thanked Jack warmly. She wrote a letter for,Gina,Jack,She,4,3619,43002,F
David surprised Mia at the party. He baked a cake for,David,Mia,He,5,32189,3271,M
Tara recommended Jack for the job. She wrote a reference for,Tara,Jack,She,6,3619,37723,F
Jack met Alice at the store. He bought a gift for,Jack,Alice,He,0,14862,3619,M
Mia visited David at home. She brought flowers for,Mia,David,She,1,3271,32189,F
Noah called Clara on the phone. He left a message for,Noah,Clara,He,2,27443,18394,M
Clara helped Henry move. She carried the boxes for,Clara,Henry,She,3,8616,27443,F
Derek thanked Amy warmly. He wrote a letter for,Derek,Amy,He,4,14235,20893,M
Grace surprised Paul at the party. She baked a cake for,Grace,Paul,She,5,3362,16156,F
Liam recommended Olivia for the job. He wrote a reference for,Liam,Olivia,He,6,33911,31684,M
Grace met Xander at the store. She bought a gift for,Grace,Xander,She,0,46122,16156,F
Paul visited Kate at home. He brought flowers for,Paul,Kate,He,1,16693,3362,M
Gina called Henry on the phone. She left a message for,Gina,Henry,She,2,8616,43002,F
David helped Rose move. He carried the boxes for,David,Rose,He,3,8049,3271,M
Iris thanked Fred warmly. She wrote a letter for,Iris,Fred,She,4,8559,34230,F
Victor surprised Iris at the party. He baked a cake for,Victor,Iris,He,5,34230,12622,M
Alice recommended Noah for the job. She wrote a reference for,Alice,Noah,She,6,18394,14862,F
Xander met Kate at the store. He bought a gift for,Xander,Kate,He,0,16693,46122,M
Emma visited Sam at home. She brought flowers for,Emma,Sam,She,1,3409,18966,F
Brian called Clara on the phone. He left a message for,Brian,Clara,He,2,27443,8403,M
Tara helped Xander move. She carried the boxes for,Tara,Xander,She,3,46122,37723,F
Henry thanked Kate warmly. He wrote a letter for,Henry,Kate,He,4,16693,8616,M
Amy surprised Sam at the party. She baked a cake for,Amy,Sam,She,5,3409,14235,F
Henry recommended Amy for the job. He wrote a reference for,Henry,Amy,He,6,14235,8616,M
Mia met Xander at the store. She bought a gift for,Mia,Xander,She,0,46122,32189,F
Henry visited Olivia at home. He brought flowers for,Henry,Olivia,He,1,33911,8616,M
Amy called Noah on the phone. She left a message for,Amy,Noah,She,2,18394,14235,F
David helped Gina move. He carried the boxes for,David,Gina,He,3,43002,3271,M
Alice thanked Noah warmly. She wrote a letter for,Alice,Noah,She,4,18394,14862,F
Derek surprised Emma at the party. He baked a cake for,Derek,Emma,He,5,18966,20893,M
Mia recommended Xander for the job. She wrote a reference for,Mia,Xander,She,6,46122,32189,F
Henry met Gina at the store. He bought a gift for,Henry,Gina,He,0,43002,8616,M
Kate visited Victor at home. She brought flowers for,Kate,Victor,She,1,12622,16693,F
Derek called Mia on the phone. He left a message for,Derek,Mia,He,2,32189,20893,M
Gina helped Victor move. She carried the boxes for,Gina,Victor,She,3,12622,43002,F
Jack thanked Iris warmly. He wrote a letter for,Jack,Iris,He,4,34230,3619,M
Clara surprised Brian at the party. She baked a cake for,Clara,Brian,She,5,8403,27443,F
Liam recommended Amy for the job. He wrote a reference for,Liam,Amy,He,6,14235,31684,M
Kate met Brian at the store. She bought a gift for,Kate,Brian,She,0,8403,16693,F
Bob visited Kate at home. He brought flowers for,Bob,Kate,He,1,16693,5811,M
Iris called Derek on the phone. She left a message for,Iris,Derek,She,2,20893,34230,F
Xander helped Rose move. He carried the boxes for,Xander,Rose,He,3,8049,46122,M
Rose thanked Noah warmly. She wrote a letter for,Rose,Noah,She,4,18394,8049,F
Harry surprised Gina at the party. He baked a cake for,Harry,Gina,He,5,43002,5850,M
Clara recommended Frank for the job. She wrote a reference for,Clara,Frank,She,6,5278,27443,F
Xander met Emma at the store. He bought a gift for,Xander,Emma,He,0,18966,46122,M
Iris visited Victor at home. She brought flowers for,Iris,Victor,She,1,12622,34230,F
Noah called Grace on the phone. He left a message for,Noah,Grace,He,2,16156,18394,M
Alice helped Paul move. She carried the boxes for,Alice,Paul,She,3,3362,14862,F
Frank thanked Rose warmly. He wrote a letter for,Frank,Rose,He,4,8049,5278,M
Clara surprised Noah at the party. She baked a cake for,Clara,Noah,She,5,18394,27443,F
Harry recommended Olivia for the job. He wrote a reference for,Harry,Olivia,He,6,33911,5850,M
Grace met Bob at the store. She bought a gift for,Grace,Bob,She,0,5811,16156,F
