prompt,speaker,recipient,pronoun,logit_diff,prob_io,prob_s,is_correct,rank_io,template_idx
Clara met Henry at the store. She bought a gift for,Clara,Henry,She,3.5953521728515625,0.18909592926502228,0.005190875381231308,True,2,0
Bob visited Gina at home. He brought flowers for,Bob,Gina,He,1.5806293487548828,0.1646384298801422,0.03389008343219757,True,2,1
Kate called Paul on the phone. She left a message for,Kate,Paul,She,5.0569610595703125,0.21202613413333893,0.0013495193561539054,True,2,2
Paul helped Grace move. He carried the boxes for,Paul,Grace,He,2.6483259201049805,0.06806114315986633,0.004816658794879913,True,3,3
Gina thanked Henry warmly. She wrote a letter for,Gina,Henry,She,7.7633771896362305,0.18549321591854095,7.883810030762106e-05,True,2,4
Frank surprised Amy at the party. He baked a cake for,Frank,Amy,He,3.017971992492676,0.1301836520433426,0.0063660177402198315,True,2,5
Olivia recommended David for the job. She wrote a reference for,Olivia,David,She,1.941476821899414,0.055272176861763,0.007931108586490154,True,4,6
Bob met Emma at the store. He bought a gift for,Bob,Emma,He,1.5478267669677734,0.06251250952482224,0.013297019526362419,True,2,0
Iris visited Paul at home. She brought flowers for,Iris,Paul,She,4.339027404785156,0.13001888990402222,0.001696644234471023,True,2,1
Bob called Tara on the phone. He left a message for,Bob,Tara,He,1.8236589431762695,0.13496889173984528,0.021788565441966057,True,2,2
Iris helped Derek move. She carried the boxes for,Iris,Derek,She,4.921095848083496,0.07117542624473572,0.0005189497023820877,True,3,3
Paul thanked Rose warmly. He wrote a letter for,Paul,Rose,He,2.041684150695801,0.06660840660333633,0.00864643044769764,True,3,4
Amy surprised Sam at the party. She baked a cake for,Amy,Sam,She,2.186124801635742,0.17844343185424805,0.0200483500957489,True,2,5
Bob recommended Grace for the job. He wrote a reference for,Bob,Grace,He,0.3200874328613281,0.05779876932501793,0.04196684807538986,True,5,6
Gina met Derek at the store. She bought a gift for,Gina,Derek,She,3.630615234375,0.06155839562416077,0.0016312898369506001,True,3,0
Xander visited Kate at home. He brought flowers for,Xander,Kate,He,7.034289360046387,0.14878152310848236,0.00013109795690979809,True,2,1
Grace called Noah on the phone. She left a message for,Grace,Noah,She,4.673340797424316,0.093752920627594,0.0008757470641285181,True,3,2
Xander helped Emma move. He carried the boxes for,Xander,Emma,He,6.26961612701416,0.1745501607656479,0.000330415612552315,True,2,3
Emma thanked Brian warmly. She wrote a letter for,Emma,Brian,She,2.332000732421875,0.07421219348907471,0.007206099107861519,True,4,4
Henry surprised Mia at the party. He baked a cake for,Henry,Mia,He,0.6232433319091797,0.04952378198504448,0.0265547763556242,True,3,5
Mia recommended Sam for the job. She wrote a reference for,Mia,Sam,She,6.171780586242676,0.15529680252075195,0.00032418451155535877,True,2,6
David met Gina at the store. He bought a gift for,David,Gina,He,2.496530532836914,0.09582723677158356,0.007893317379057407,True,2,0
Rose visited Henry at home. She brought flowers for,Rose,Henry,She,3.3728551864624023,0.4529114365577698,0.015531051903963089,True,1,1
Brian called Emma on the phone. He left a message for,Brian,Emma,He,3.4194326400756836,0.08061996102333069,0.0026387718971818686,True,2,2
Tara helped Victor move. She carried the boxes for,Tara,Victor,She,8.368690490722656,0.21824505925178528,5.0637037929845974e-05,True,2,3
Zach thanked Amy warmly. He wrote a letter for,Zach,Amy,He,4.757627487182617,0.2140679657459259,0.0018379780231043696,True,2,4
Iris surprised Frank at the party. She baked a cake for,Iris,Frank,She,3.9961910247802734,0.036256346851587296,0.0006665923865512013,True,4,5
David recommended Clara for the job. He wrote a reference for,David,Clara,He,1.8472843170166016,0.07535987347364426,0.01188159640878439,True,3,6
Iris met Victor at the store. She bought a gift for,Iris,Victor,She,-0.5332202911376953,0.008568788878619671,0.014604748226702213,False,9,0
Frank visited Iris at home. He brought flowers for,Frank,Iris,He,4.570050239562988,0.15272961556911469,0.0015818877145648003,True,2,1
Emma called Brian on the phone. She left a message for,Emma,Brian,She,3.4695816040039062,0.10994847863912582,0.0034227019641548395,True,3,2
Sam helped Rose move. He carried the boxes for,Sam,Rose,He,1.7222681045532227,0.12713778018951416,0.02271449565887451,True,3,3
Clara thanked Zach warmly. She wrote a letter for,Clara,Zach,She,7.084089279174805,0.11078261584043503,9.28732770262286e-05,True,2,4
Liam surprised Mia at the party. He baked a cake for,Liam,Mia,He,3.4402055740356445,0.06851574033498764,0.002196484012529254,True,2,5
Mia recommended Noah for the job. She wrote a reference for,Mia,Noah,She,6.8870744705200195,0.22692634165287018,0.00023166822211351246,True,1,6
Sam met Gina at the store. He bought a gift for,Sam,Gina,He,-0.45282745361328125,0.044227730482816696,0.06955928355455399,False,3,0
Clara visited Frank at home. She brought flowers for,Clara,Frank,She,4.485376358032227,0.1367451548576355,0.0015414794906973839,True,2,1
Liam called Tara on the phone. He left a message for,Liam,Tara,He,3.511166572570801,0.10821542888879776,0.0032315352000296116,True,2,2
Gina helped Paul move. She carried the boxes for,Gina,Paul,She,7.526576042175293,0.2101958692073822,0.00011320711928419769,True,2,3
