prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_num_tokens,s_num_tokens,io_token_ids,s_token_ids,logprob_io_total,logprob_s_total,logprob_diff_total,logprob_io_avg,logprob_s_avg,logprob_diff_avg,is_correct,is_correct_avg,language
যখন রাম এবং গীতা পার্ক গেলেন, গীতা বই দিলেন,রাম,শ্যাম,গীতা,ABB,0,পার্ক,বই,4,6,"[35178, 108, 49128, 106]","[35178, 114, 52806, 107, 49128, 106]",-8.014774,-13.152807,5.138034,-2.003693,-2.192135,0.188441,True,True,bengali
যখন সীতা এবং রবি দোকান পৌঁছালেন, রবি উপহার দিলেন,সীতা,মোহন,রবি,ABB,1,দোকান,উপহার,6,6,"[35178, 116, 26927, 222, 147645, 41312]","[35178, 106, 26927, 233, 148291, 86548]",-7.2525,-14.363005,7.110505,-1.20875,-2.393834,1.185084,True,True,bengali
যখন গীতা এবং কমল হাসপাতাল এলেন, কমল চিঠি পাঠালেন,গীতা,অনিল,কমল,ABB,2,হাসপাতাল,চিঠি,6,5,"[35178, 245, 26927, 222, 147645, 41312]","[35178, 227, 86548, 80178, 110]",-6.683624,-14.913898,8.230274,-1.113937,-2.98278,1.868842,True,True,bengali
যখন বিজয় এবং প্রিয়া স্কুল ছেড়ে গেলেন, প্রিয়া ব্যাগ দিয়ে গেলেন,বিজয়,দেবী,প্রিয়া,ABB,3,স্কুল,ব্যাগ,7,6,"[35178, 105, 80178, 250, 146834, 11125, 120]","[35178, 99, 58908, 146026, 26927, 222]",-6.415935,-14.004022,7.588087,-0.916562,-2.334004,1.417442,True,True,bengali
যখন প্রিয়া এবং নীতা বাজার গেলেন, নীতা টিকিট দিলেন,প্রিয়া,রোহান,নীতা,ABB,0,বাজার,টিকিট,9,7,"[35178, 103, 52806, 108, 80178, 107, 11125, 120, 41312]","[35178, 108, 26927, 233, 148291, 49128, 101]",-6.319421,-16.497816,10.178395,-0.702158,-2.356831,1.654673,True,True,bengali
যখন মীনা এবং ললিতা জাদুঘর পৌঁছালেন, ললিতা কার্ড দিলেন,মীনা,অজয়,ললিতা,ABB,1,জাদুঘর,কার্ড,6,6,"[35178, 106, 26927, 222, 86548, 41312]","[35178, 227, 148204, 146834, 11125, 120]",-7.817947,-14.647203,6.829256,-1.302991,-2.441201,1.138209,True,True,bengali
যখন কমল এবং পূজা স্টেশন এলেন, পূজা কলম পাঠালেন,কমল,সুরেশ,পূজা,ABB,2,স্টেশন,কলম,4,7,"[35178, 243, 146415, 146227]","[35178, 116, 26927, 223, 72258, 58908, 148125]",-7.358022,-15.921195,8.563173,-1.839505,-2.274456,0.434951,True,True,bengali
যখন রবি এবং বিজয় পার্ক ছেড়ে গেলেন, বিজয় ফোন দিয়ে গেলেন,রবি,অর্জুন,বিজয়,ABB,3,পার্ক,ফোন,4,8,"[35178, 108, 146026, 61356]","[35178, 227, 72258, 52806, 250, 26927, 223, 86548]",-9.090616,-15.519177,6.428561,-2.272654,-1.939897,-0.332757,True,False,bengali
যখন সুনীতা এবং মোহন অফিস গেলেন, মোহন বই দিলেন,সুনীতা,নীতা,মোহন,ABB,0,অফিস,বই,9,6,"[35178, 116, 26927, 223, 86548, 26927, 222, 147645, 41312]","[35178, 101, 26927, 222, 147645, 41312]",-8.974037,-16.613713,7.639675,-0.997115,-2.768952,1.771837,True,True,bengali
যখন ললিতা এবং রবি রেস্তোরাঁ পৌঁছালেন, রবি উপহার দিলেন,ললিতা,পূজা,রবি,ABB,1,রেস্তোরাঁ,উপহার,6,6,"[35178, 110, 146227, 80178, 97, 41312]","[35178, 103, 26927, 224, 148204, 41312]",-8.524708,-12.387412,3.862705,-1.420785,-2.064569,0.643784,True,True,bengali
যখন অর্জুন এবং শ্যাম লাইব্রেরি এলেন, শ্যাম প্যাকেজ পাঠালেন,অর্জুন,মীনা,শ্যাম,ABB,2,লাইব্রেরি,প্যাকেজ,8,6,"[35178, 227, 72258, 52806, 250, 26927, 223, 86548]","[35178, 106, 26927, 222, 86548, 41312]",-6.948019,-14.515875,7.567856,-0.868502,-2.419312,1.55081,True,True,bengali
যখন নীতা এবং অনিল দোকান ছেড়ে গেলেন, অনিল চাবি দিয়ে গেলেন,নীতা,কমল,অনিল,ABB,3,দোকান,চাবি,6,4,"[35178, 101, 26927, 222, 147645, 41312]","[35178, 243, 146415, 146227]",-8.162027,-14.659966,6.497939,-1.360338,-3.664992,2.304654,True,True,bengali
যখন পূজা এবং সীতা হাসপাতাল গেলেন, সীতা টিকিট দিলেন,পূজা,বিজয়,সীতা,ABB,0,হাসপাতাল,টিকিট,6,7,"[35178, 103, 26927, 224, 148204, 41312]","[35178, 105, 80178, 250, 146834, 11125, 120]",-7.936575,-10.9054,2.968825,-1.322762,-1.557914,0.235152,True,True,bengali
যখন রাম এবং শ্যাম স্কুল গেলেন, রাম ফোন দিলেন,শ্যাম,গীতা,রাম,BAB,0,স্কুল,ফোন,6,6,"[35178, 114, 52806, 107, 49128, 106]","[35178, 245, 26927, 222, 147645, 41312]",-7.270319,-15.626927,8.356608,-1.21172,-2.604488,1.392768,True,True,bengali
যখন দেবী এবং অনিল বাজার পৌঁছালেন, দেবী কলম দিলেন,অনিল,সীতা,দেবী,BAB,1,বাজার,কলম,5,6,"[35178, 227, 86548, 80178, 110]","[35178, 116, 26927, 222, 147645, 41312]",-8.563656,-15.541937,6.978282,-1.712731,-2.590323,0.877592,True,True,bengali
যখন প্রিয়া এবং মোহন জাদুঘর এলেন, প্রিয়া কার্ড পাঠালেন,মোহন,রাম,প্রিয়া,BAB,2,জাদুঘর,কার্ড,6,4,"[35178, 106, 26927, 233, 148291, 86548]","[35178, 108, 49128, 106]",-6.339892,-10.282879,3.942987,-1.056649,-2.57072,1.514071,True,True,bengali
যখন রোহান এবং দেবী স্টেশন ছেড়ে গেলেন, রোহান ব্যাগ দিয়ে গেলেন,দেবী,সুনীতা,রোহান,BAB,3,স্টেশন,ব্যাগ,6,9,"[35178, 99, 58908, 146026, 26927, 222]","[35178, 116, 26927, 223, 86548, 26927, 222, 147645, 41312]",-7.538227,-20.867287,13.32906,-1.256371,-2.318587,1.062216,True,True,bengali
যখন অজয় এবং রোহান অফিস গেলেন, অজয় চিঠি দিলেন,রোহান,বিজয়,অজয়,BAB,0,অফিস,চিঠি,7,7,"[35178, 108, 26927, 233, 148291, 49128, 101]","[35178, 105, 80178, 250, 146834, 11125, 120]",-7.557769,-10.399711,2.841942,-1.079681,-1.485673,0.405992,True,True,bengali
যখন কমল এবং অজয় রেস্তোরাঁ পৌঁছালেন, কমল উপহার দিলেন,অজয়,অর্জুন,কমল,BAB,1,রেস্তোরাঁ,উপহার,6,8,"[35178, 227, 148204, 146834, 11125, 120]","[35178, 227, 72258, 52806, 250, 26927, 223, 86548]",-8.859679,-15.281818,6.422139,-1.476613,-1.910227,0.433614,True,True,bengali
যখন মীনা এবং সুরেশ পার্ক এলেন, মীনা বই পাঠালেন,সুরেশ,প্রিয়া,মীনা,BAB,2,পার্ক,বই,7,9,"[35178, 116, 26927, 223, 72258, 58908, 148125]","[35178, 103, 52806, 108, 80178, 107, 11125, 120, 41312]",-7.272822,-11.252653,3.979831,-1.038975,-1.250295,0.21132,True,True,bengali
যখন সুনীতা এবং ললিতা লাইব্রেরি ছেড়ে গেলেন, সুনীতা টিকিট দিয়ে গেলেন,ললিতা,রোহান,সুনীতা,BAB,3,লাইব্রেরি,টিকিট,6,7,"[35178, 110, 146227, 80178, 97, 41312]","[35178, 108, 26927, 233, 148291, 49128, 101]",-10.577323,-17.252831,6.675508,-1.762887,-2.46469,0.701803,True,True,bengali
যখন পূজা এবং সুনীতা দোকান গেলেন, পূজা চাবি দিলেন,সুনীতা,মীনা,পূজা,BAB,0,দোকান,চাবি,9,6,"[35178, 116, 26927, 223, 86548, 26927, 222, 147645, 41312]","[35178, 106, 26927, 222, 86548, 41312]",-10.207309,-14.80844,4.601131,-1.134145,-2.468073,1.333928,True,True,bengali
যখন অর্জুন এবং বিজয় বাজার পৌঁছালেন, অর্জুন ফোন দিলেন,বিজয়,কমল,অর্জুন,BAB,1,বাজার,ফোন,7,4,"[35178, 105, 80178, 250, 146834, 11125, 120]","[35178, 243, 146415, 146227]",-7.237467,-16.073874,8.836407,-1.033924,-4.018469,2.984545,True,True,bengali
যখন শ্যাম এবং নীতা স্টেশন এলেন, শ্যাম উপহার পাঠালেন,নীতা,সুরেশ,শ্যাম,BAB,2,স্টেশন,উপহার,6,7,"[35178, 101, 26927, 222, 147645, 41312]","[35178, 116, 26927, 223, 72258, 58908, 148125]",-7.889121,-14.597527,6.708406,-1.314853,-2.085361,0.770508,True,True,bengali
যখন গীতা এবং পূজা রেস্তোরাঁ ছেড়ে গেলেন, গীতা চিঠি দিয়ে গেলেন,পূজা,অজয়,গীতা,BAB,3,রেস্তোরাঁ,চিঠি,6,6,"[35178, 103, 26927, 224, 148204, 41312]","[35178, 227, 148204, 146834, 11125, 120]",-7.926421,-14.476613,6.550192,-1.32107,-2.412769,1.091699,True,True,bengali
