prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_num_tokens,s_num_tokens,io_token_ids,s_token_ids,logprob_io_total,logprob_s_total,logprob_diff_total,logprob_io_avg,logprob_s_avg,logprob_diff_avg,is_correct,is_correct_avg,language
जब राम और गीता पार्क गए, गीता ने किताब दिया,राम,श्याम,गीता,ABB,0,पार्क,किताब,4,6,"[14925, 108, 31411, 106]","[14925, 114, 30484, 107, 31411, 106]",-5.636673,-13.527803,7.891129,-1.409168,-2.254634,0.845465,True,True,hindi
जब सीता और रवि दुकान पहुंचे, रवि ने उपहार सौंपा,सीता,मोहन,रवि,ABB,1,दुकान,उपहार,4,4,"[68158, 43647, 79238, 23868]","[91217, 54575, 93948, 60096]",-7.900826,-10.322307,2.42148,-1.975207,-2.580577,0.60537,True,True,hindi
जब गीता और कमल अस्पताल आए, कमल ने पत्र भेजा,गीता,अनिल,कमल,ABB,2,अस्पताल,पत्र,5,5,"[14925, 245, 43647, 79238, 23868]","[14925, 227, 60096, 42311, 110]",-9.217103,-15.240898,6.023796,-1.843421,-3.04818,1.204759,True,True,hindi
जब विजय और प्रिया स्कूल छोड़े, प्रिया ने थैला दे दिया,विजय,देवी,प्रिया,ABB,3,स्कूल,थैला,5,5,"[14925, 113, 42311, 250, 145420]","[14925, 99, 54784, 113, 43647]",-9.725995,-13.945084,4.219089,-1.945199,-2.789017,0.843818,True,True,hindi
जब प्रिया और नीता बाजार गए, नीता ने टिकट दिया,प्रिया,रोहन,नीता,ABB,0,बाजार,टिकट,5,5,"[83636, 85033, 42311, 107, 23868]","[14925, 108, 54575, 93948, 60096]",-9.300303,-12.622242,3.321939,-1.860061,-2.524448,0.664388,True,True,hindi
जब मीना और ललिता संग्रहालय पहुंचे, ललिता ने कार्ड सौंपा,मीना,अजय,ललिता,ABB,1,संग्रहालय,कार्ड,4,4,"[91217, 43647, 60096, 23868]","[14925, 227, 146114, 145420]",-6.583409,-13.085239,6.50183,-1.645852,-3.27131,1.625458,True,True,hindi
जब कमल और पूजा स्टेशन आए, पूजा ने कलम भेजा,कमल,सुरेश,पूजा,ABB,2,स्टेशन,कलम,3,5,"[47809, 87244, 91811]","[68158, 72653, 44179, 54784, 114]",-10.34853,-19.788547,9.440018,-3.44951,-3.957709,0.5082,True,True,hindi
जब रवि और विजय पार्क छोड़े, विजय ने फोन दे दिया,रवि,अर्जुन,विजय,ABB,3,पार्क,फोन,4,7,"[14925, 108, 145535, 38851]","[14925, 227, 44179, 30484, 250, 72653, 60096]",-11.670031,-12.819409,1.149378,-2.917508,-1.831344,-1.086164,True,False,hindi
जब सुनीता और मोहन कार्यालय गए, मोहन ने किताब दिया,सुनीता,नीता,मोहन,ABB,0,कार्यालय,किताब,6,5,"[68158, 72653, 60096, 43647, 79238, 23868]","[14925, 101, 43647, 79238, 23868]",-8.698494,-13.629019,4.930525,-1.449749,-2.725804,1.276055,True,True,hindi
जब ललिता और रवि रेस्टोरेंट पहुंचे, रवि ने उपहार सौंपा,ललिता,पूजा,रवि,ABB,1,रेस्टोरेंट,उपहार,6,5,"[14925, 110, 91811, 42311, 97, 23868]","[83636, 12619, 224, 146114, 23868]",-15.559964,-15.812957,0.252994,-2.593327,-3.162591,0.569264,True,True,hindi
