prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_token_id,s_token_id
जब राम और श्याम पार्क गए, श्याम ने किताब दिया,जब राम और गीता पार्क गए, गीता ने किताब दिया,राम,श्याम,गीता,ABB,0,पार्क,किताब,-1,-1
जब सीता और मोहन दुकान पहुंचे, मोहन ने उपहार सौंपा,जब सीता और रवि दुकान पहुंचे, रवि ने उपहार सौंपा,सीता,मोहन,रवि,ABB,1,दुकान,उपहार,-1,-1
जब गीता और अनिल अस्पताल आए, अनिल ने पत्र भेजा,जब गीता और कमल अस्पताल आए, कमल ने पत्र भेजा,गीता,अनिल,कमल,ABB,2,अस्पताल,पत्र,-1,-1
जब विजय और देवी स्कूल छोड़े, देवी ने थैला दे दिया,जब विजय और प्रिया स्कूल छोड़े, प्रिया ने थैला दे दिया,विजय,देवी,प्रिया,ABB,3,स्कूल,थैला,-1,-1
जब प्रिया और रोहन बाजार गए, रोहन ने टिकट दिया,जब प्रिया और नीता बाजार गए, नीता ने टिकट दिया,प्रिया,रोहन,नीता,ABB,0,बाजार,टिकट,-1,-1
जब मीना और अजय संग्रहालय पहुंचे, अजय ने कार्ड सौंपा,जब मीना और ललिता संग्रहालय पहुंचे, ललिता ने कार्ड सौंपा,मीना,अजय,ललिता,ABB,1,संग्रहालय,कार्ड,-1,-1
जब कमल और सुरेश स्टेशन आए, सुरेश ने कलम भेजा,जब कमल और पूजा स्टेशन आए, पूजा ने कलम भेजा,कमल,सुरेश,पूजा,ABB,2,स्टेशन,कलम,-1,-1
जब रवि और अर्जुन पार्क छोड़े, अर्जुन ने फोन दे दिया,जब रवि और विजय पार्क छोड़े, विजय ने फोन दे दिया,रवि,अर्जुन,विजय,ABB,3,पार्क,फोन,-1,-1
जब सुनीता और नीता कार्यालय गए, नीता ने किताब दिया,जब सुनीता और मोहन कार्यालय गए, मोहन ने किताब दिया,सुनीता,नीता,मोहन,ABB,0,कार्यालय,किताब,-1,-1
जब ललिता और पूजा रेस्टोरेंट पहुंचे, पूजा ने उपहार सौंपा,जब ललिता और रवि रेस्टोरेंट पहुंचे, रवि ने उपहार सौंपा,ललिता,पूजा,रवि,ABB,1,रेस्टोरेंट,उपहार,-1,-1
जब अर्जुन और मीना पुस्तकालय आए, मीना ने पैकेज भेजा,जब अर्जुन और श्याम पुस्तकालय आए, श्याम ने पैकेज भेजा,अर्जुन,मीना,श्याम,ABB,2,पुस्तकालय,पैकेज,-1,-1
जब नीता और कमल दुकान छोड़े, कमल ने चाबी दे दिया,जब नीता और अनिल दुकान छोड़े, अनिल ने चाबी दे दिया,नीता,कमल,अनिल,ABB,3,दुकान,चाबी,-1,-1
जब पूजा और विजय अस्पताल गए, विजय ने टिकट दिया,जब पूजा और सीता अस्पताल गए, सीता ने टिकट दिया,पूजा,विजय,सीता,ABB,0,अस्पताल,टिकट,-1,-1
जब गीता और श्याम स्कूल गए, गीता ने फोन दिया,जब राम और श्याम स्कूल गए, राम ने फोन दिया,श्याम,गीता,राम,BAB,0,स्कूल,फोन,-1,-1
जब सीता और अनिल बाजार पहुंचे, सीता ने कलम सौंपा,जब देवी और अनिल बाजार पहुंचे, देवी ने कलम सौंपा,अनिल,सीता,देवी,BAB,1,बाजार,कलम,-1,-1
जब राम और मोहन संग्रहालय आए, राम ने कार्ड भेजा,जब प्रिया और मोहन संग्रहालय आए, प्रिया ने कार्ड भेजा,मोहन,राम,प्रिया,BAB,2,संग्रहालय,कार्ड,-1,-1
जब सुनीता और देवी स्टेशन छोड़े, सुनीता ने थैला दे दिया,जब रोहन और देवी स्टेशन छोड़े, रोहन ने थैला दे दिया,देवी,सुनीता,रोहन,BAB,3,स्टेशन,थैला,-1,-1
जब विजय और रोहन कार्यालय गए, विजय ने पत्र दिया,जब अजय और रोहन कार्यालय गए, अजय ने पत्र दिया,रोहन,विजय,अजय,BAB,0,कार्यालय,पत्र,-1,-1
जब अर्जुन और अजय रेस्टोरेंट पहुंचे, अर्जुन ने उपहार सौंपा,जब कमल और अजय रेस्टोरेंट पहुंचे, कमल ने उपहार सौंपा,अजय,अर्जुन,कमल,BAB,1,रेस्टोरेंट,उपहार,-1,-1
जब प्रिया और सुरेश पार्क आए, प्रिया ने किताब भेजा,जब मीना और सुरेश पार्क आए, मीना ने किताब भेजा,सुरेश,प्रिया,मीना,BAB,2,पार्क,किताब,-1,-1
जब रोहन और ललिता पुस्तकालय छोड़े, रोहन ने टिकट दे दिया,जब सुनीता और ललिता पुस्तकालय छोड़े, सुनीता ने टिकट दे दिया,ललिता,रोहन,सुनीता,BAB,3,पुस्तकालय,टिकट,-1,-1
जब मीना और सुनीता दुकान गए, मीना ने चाबी दिया,जब पूजा और सुनीता दुकान गए, पूजा ने चाबी दिया,सुनीता,मीना,पूजा,BAB,0,दुकान,चाबी,-1,-1
जब कमल और विजय बाजार पहुंचे, कमल ने फोन सौंपा,जब अर्जुन और विजय बाजार पहुंचे, अर्जुन ने फोन सौंपा,विजय,कमल,अर्जुन,BAB,1,बाजार,फोन,-1,-1
जब सुरेश और नीता स्टेशन आए, सुरेश ने उपहार भेजा,जब श्याम और नीता स्टेशन आए, श्याम ने उपहार भेजा,नीता,सुरेश,श्याम,BAB,2,स्टेशन,उपहार,-1,-1
जब अजय और पूजा रेस्टोरेंट छोड़े, अजय ने पत्र दे दिया,जब गीता और पूजा रेस्टोरेंट छोड़े, गीता ने पत्र दे दिया,पूजा,अजय,गीता,BAB,3,रेस्टोरेंट,पत्र,-1,-1
