prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_token_id,s_token_id
যখন রাম এবং শ্যাম পার্ক গেলেন, শ্যাম বই দিলেন,যখন রাম এবং গীতা পার্ক গেলেন, গীতা বই দিলেন,রাম,শ্যাম,গীতা,ABB,0,পার্ক,বই,-1,-1
যখন সীতা এবং মোহন দোকান পৌঁছালেন, মোহন উপহার দিলেন,যখন সীতা এবং রবি দোকান পৌঁছালেন, রবি উপহার দিলেন,সীতা,মোহন,রবি,ABB,1,দোকান,উপহার,-1,-1
যখন গীতা এবং অনিল হাসপাতাল এলেন, অনিল চিঠি পাঠালেন,যখন গীতা এবং কমল হাসপাতাল এলেন, কমল চিঠি পাঠালেন,গীতা,অনিল,কমল,ABB,2,হাসপাতাল,চিঠি,-1,-1
যখন বিজয় এবং দেবী স্কুল ছেড়ে গেলেন, দেবী ব্যাগ দিয়ে গেলেন,যখন বিজয় এবং প্রিয়া স্কুল ছেড়ে গেলেন, প্রিয়া ব্যাগ দিয়ে গেলেন,বিজয়,দেবী,প্রিয়া,ABB,3,স্কুল,ব্যাগ,-1,-1
যখন প্রিয়া এবং রোহান বাজার গেলেন, রোহান টিকিট দিলেন,যখন প্রিয়া এবং নীতা বাজার গেলেন, নীতা টিকিট দিলেন,প্রিয়া,রোহান,নীতা,ABB,0,বাজার,টিকিট,-1,-1
যখন মীনা এবং অজয় জাদুঘর পৌঁছালেন, অজয় কার্ড দিলেন,যখন মীনা এবং ললিতা জাদুঘর পৌঁছালেন, ললিতা কার্ড দিলেন,মীনা,অজয়,ললিতা,ABB,1,জাদুঘর,কার্ড,-1,-1
যখন কমল এবং সুরেশ স্টেশন এলেন, সুরেশ কলম পাঠালেন,যখন কমল এবং পূজা স্টেশন এলেন, পূজা কলম পাঠালেন,কমল,সুরেশ,পূজা,ABB,2,স্টেশন,কলম,-1,-1
যখন রবি এবং অর্জুন পার্ক ছেড়ে গেলেন, অর্জুন ফোন দিয়ে গেলেন,যখন রবি এবং বিজয় পার্ক ছেড়ে গেলেন, বিজয় ফোন দিয়ে গেলেন,রবি,অর্জুন,বিজয়,ABB,3,পার্ক,ফোন,-1,-1
যখন সুনীতা এবং নীতা অফিস গেলেন, নীতা বই দিলেন,যখন সুনীতা এবং মোহন অফিস গেলেন, মোহন বই দিলেন,সুনীতা,নীতা,মোহন,ABB,0,অফিস,বই,-1,-1
যখন ললিতা এবং পূজা রেস্তোরাঁ পৌঁছালেন, পূজা উপহার দিলেন,যখন ললিতা এবং রবি রেস্তোরাঁ পৌঁছালেন, রবি উপহার দিলেন,ললিতা,পূজা,রবি,ABB,1,রেস্তোরাঁ,উপহার,-1,-1
যখন অর্জুন এবং মীনা লাইব্রেরি এলেন, মীনা প্যাকেজ পাঠালেন,যখন অর্জুন এবং শ্যাম লাইব্রেরি এলেন, শ্যাম প্যাকেজ পাঠালেন,অর্জুন,মীনা,শ্যাম,ABB,2,লাইব্রেরি,প্যাকেজ,-1,-1
যখন নীতা এবং কমল দোকান ছেড়ে গেলেন, কমল চাবি দিয়ে গেলেন,যখন নীতা এবং অনিল দোকান ছেড়ে গেলেন, অনিল চাবি দিয়ে গেলেন,নীতা,কমল,অনিল,ABB,3,দোকান,চাবি,-1,-1
যখন পূজা এবং বিজয় হাসপাতাল গেলেন, বিজয় টিকিট দিলেন,যখন পূজা এবং সীতা হাসপাতাল গেলেন, সীতা টিকিট দিলেন,পূজা,বিজয়,সীতা,ABB,0,হাসপাতাল,টিকিট,-1,-1
