prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_token_id,s_token_id
"When David and Henry visited the restaurant, Henry handed the letter to","When David and Harry visited the restaurant, Harry handed the letter to",David,Henry,Harry,ABB,1,the restaurant,letter,3271,8616
"While Bob and Kate were at the gym, Bob delivered the map to","While Carol and Kate were at the gym, Carol delivered the map to",Kate,Bob,Carol,BAB,5,the gym,map,16693,5811
"When Isla and Ella arrived at the hospital, Ella passed the wallet to","When Isla and Wendy arrived at the hospital, Wendy passed the wallet to",Isla,Ella,Wendy,ABB,2,the hospital,wallet,1148,7122
"When Clara and Kate went to the museum, Clara gave the package to","When Derek and Kate went to the museum, Derek gave the package to",Kate,Clara,Derek,BAB,0,the museum,package,16693,27443
"After Grace and Victor left the school, Victor sent the card to","After Grace and Sam left the school, Sam sent the card to",Grace,Victor,Sam,ABB,3,the school,card,16156,12622
"When Kate and Clara went to the hospital, Kate gave the phone to","When Olivia and Clara went to the hospital, Olivia gave the phone to",Clara,Kate,Olivia,BAB,0,the hospital,phone,27443,16693
"As Xander and Isla walked through the station, Xander offered the ticket to","As Carol and Isla walked through the station, Carol offered the ticket to",Isla,Xander,Carol,BAB,6,the station,ticket,1148,46122
"After Emma and Victor left the gym, Emma sent the bag to","After Liam and Victor left the gym, Liam sent the bag to",Victor,Emma,Liam,BAB,3,the gym,bag,12622,18966
"When Isla and Liam visited the station, Liam handed the ticket to","When Isla and Mia visited the station, Mia handed the ticket to",Isla,Liam,Mia,ABB,1,the station,ticket,1148,31684
"When Noah and Emma arrived at the theater, Emma passed the letter to","When Noah and Olivia arrived at the theater, Olivia passed the letter to",Noah,Emma,Olivia,ABB,2,the theater,letter,18394,18966
"When Victor and Emma visited the restaurant, Emma handed the phone to","When Victor and Gina visited the restaurant, Gina handed the phone to",Victor,Emma,Gina,ABB,1,the restaurant,phone,12622,18966
"Once Carol and Ella were at the theater, Carol brought the gift to","Once Isla and Ella were at the theater, Isla brought the gift to",Ella,Carol,Isla,BAB,4,the theater,gift,7122,5074
"When Bob and David visited the library, David handed the wallet to","When Bob and Victor visited the library, Victor handed the wallet to",Bob,David,Victor,ABB,1,the library,wallet,5811,3271
"After Mia and Yara left the office, Yara sent the letter to","After Mia and Fred left the office, Fred sent the letter to",Mia,Yara,Fred,ABB,3,the office,letter,32189,575
"When Clara and Carol went to the office, Carol gave the wallet to","When Clara and Iris went to the office, Iris gave the wallet to",Clara,Carol,Iris,ABB,0,the office,wallet,27443,5074
"When Grace and Iris visited the hospital, Grace handed the map to","When Bob and Iris visited the hospital, Bob handed the map to",Iris,Grace,Bob,BAB,1,the hospital,map,34230,16156
"While Fred and Mia were at the office, Fred delivered the map to","While Paul and Mia were at the office, Paul delivered the map to",Mia,Fred,Paul,BAB,5,the office,map,32189,8559
"After Sam and Olivia left the park, Olivia sent the wallet to","After Sam and Frank left the park, Frank sent the wallet to",Sam,Olivia,Frank,ABB,3,the park,wallet,3409,33911
"When Alice and Fred went to the cafe, Alice gave the ticket to","When Isla and Fred went to the cafe, Isla gave the ticket to",Fred,Alice,Isla,BAB,0,the cafe,ticket,8559,14862
"After David and Sam left the museum, David sent the wallet to","After Yara and Sam left the museum, Yara sent the wallet to",Sam,David,Yara,BAB,3,the museum,wallet,3409,3271
"As Isla and Rose walked through the office, Isla offered the pen to","As David and Rose walked through the office, David offered the pen to",Rose,Isla,David,BAB,6,the office,pen,8049,1148
"After Liam and David left the gym, David sent the package to","After Liam and Quinn left the gym, Quinn sent the package to",Liam,David,Quinn,ABB,3,the gym,package,31684,3271
"When Ella and Noah visited the store, Ella handed the book to","When Victor and Noah visited the store, Victor handed the book to",Noah,Ella,Victor,BAB,1,the store,book,18394,7122
"While Liam and Isla were at the market, Liam delivered the jacket to","While Bob and Isla were at the market, Bob delivered the jacket to",Isla,Liam,Bob,BAB,5,the market,jacket,1148,31684
"When Quinn and Rose visited the library, Quinn handed the card to","When Tara and Rose visited the library, Tara handed the card to",Rose,Quinn,Tara,BAB,1,the library,card,8049,16109
"After Amy and Wendy left the school, Amy sent the ticket to","After Quinn and Wendy left the school, Quinn sent the ticket to",Wendy,Amy,Quinn,BAB,3,the school,ticket,28314,14235
"When Jack and Zach visited the station, Zach handed the phone to","When Jack and Emma visited the station, Emma handed the phone to",Jack,Zach,Emma,ABB,1,the station,phone,3619,18825
"When Xander and Olivia arrived at the mall, Olivia passed the gift to","When Xander and Bob arrived at the mall, Bob passed the gift to",Xander,Olivia,Bob,ABB,2,the mall,gift,46122,33911
"While Wendy and Victor were at the school, Wendy delivered the package to","While Iris and Victor were at the school, Iris delivered the package to",Victor,Wendy,Iris,BAB,5,the school,package,12622,28314
"Once Tara and Iris were at the station, Tara brought the package to","Once Uma and Iris were at the station, Uma brought the package to",Iris,Tara,Uma,BAB,4,the station,package,34230,37723
"Once Emma and Gina were at the hospital, Gina brought the package to","Once Emma and Henry were at the hospital, Henry brought the package to",Emma,Gina,Henry,ABB,4,the hospital,package,18966,43002
"After Uma and Derek left the school, Derek sent the package to","After Uma and Clara left the school, Clara sent the package to",Uma,Derek,Clara,ABB,3,the school,package,471,20893
"After Gina and Liam left the store, Gina sent the note to","After Henry and Liam left the store, Henry sent the note to",Liam,Gina,Henry,BAB,3,the store,note,31684,43002
"As Mia and David walked through the theater, Mia offered the letter to","As Rose and David walked through the theater, Rose offered the letter to",David,Mia,Rose,BAB,6,the theater,letter,3271,32189
"Once Jack and Derek were at the museum, Derek brought the note to","Once Jack and David were at the museum, David brought the note to",Jack,Derek,David,ABB,4,the museum,note,3619,20893
"When Derek and Victor arrived at the restaurant, Victor passed the jacket to","When Derek and Kate arrived at the restaurant, Kate passed the jacket to",Derek,Victor,Kate,ABB,2,the restaurant,jacket,20893,12622
"When Clara and Wendy went to the station, Clara gave the note to","When Mia and Wendy went to the station, Mia gave the note to",Wendy,Clara,Mia,BAB,0,the station,note,28314,27443
"When Olivia and Grace arrived at the station, Olivia passed the ticket to","When Iris and Grace arrived at the station, Iris passed the ticket to",Grace,Olivia,Iris,BAB,2,the station,ticket,16156,33911
"When Uma and Isla visited the library, Isla handed the package to","When Uma and Frank visited the library, Frank handed the package to",Uma,Isla,Frank,ABB,1,the library,package,471,1148
"When Amy and Sam went to the cafe, Amy gave the jacket to","When Frank and Sam went to the cafe, Frank gave the jacket to",Sam,Amy,Frank,BAB,0,the cafe,jacket,3409,14235
"When Harry and Carol arrived at the market, Harry passed the phone to","When Henry and Carol arrived at the market, Henry passed the phone to",Carol,Harry,Henry,BAB,2,the market,phone,5074,5850
"While Rose and Harry were at the office, Harry delivered the key to","While Rose and Fred were at the office, Fred delivered the key to",Rose,Harry,Fred,ABB,5,the office,key,8049,5850
"After Victor and Isla left the store, Isla sent the package to","After Victor and Derek left the store, Derek sent the package to",Victor,Isla,Derek,ABB,3,the store,package,12622,1148
"When Frank and Yara went to the gym, Frank gave the bag to","When Grace and Yara went to the gym, Grace gave the bag to",Yara,Frank,Grace,BAB,0,the gym,bag,575,5278
"When Olivia and Alice visited the store, Olivia handed the ticket to","When Frank and Alice visited the store, Frank handed the ticket to",Alice,Olivia,Frank,BAB,1,the store,ticket,14862,33911
"While Isla and Gina were at the park, Isla delivered the wallet to","While Uma and Gina were at the park, Uma delivered the wallet to",Gina,Isla,Uma,BAB,5,the park,wallet,43002,1148
"After Yara and Victor left the cafe, Victor sent the bag to","After Yara and Bob left the cafe, Bob sent the bag to",Yara,Victor,Bob,ABB,3,the cafe,bag,575,12622
