prompt_clean,prompt_corrupted,io_name,s_name,distractor_name,template_type,template_idx,place,object_noun,io_num_tokens,s_num_tokens,io_token_ids,s_token_ids,logprob_io_total,logprob_s_total,logprob_diff_total,logprob_io_avg,logprob_s_avg,logprob_diff_avg,is_correct,is_correct_avg,language
"When David and Henry visited the restaurant, Henry handed the letter to","When David and Harry visited the restaurant, Harry handed the letter to",David,Henry,Harry,ABB,0,the restaurant,letter,1,1,[6798],[17599],-1.037899,-6.175184,5.137285,-1.037899,-6.175184,5.137285,True,True,english
"While Bob and Kate were at the gym, Bob delivered the map to","While Carol and Kate were at the gym, Carol delivered the map to",Kate,Bob,Carol,BAB,1,the gym,map,1,1,[29201],[14261],-1.009702,-4.922419,3.912717,-1.009702,-4.922419,3.912717,True,True,english
"When Isla and Ella arrived at the hospital, Ella passed the wallet to","When Isla and Wendy arrived at the hospital, Wendy passed the wallet to",Isla,Ella,Wendy,ABB,2,the hospital,wallet,2,1,"[2160, 4260]",[77796],-0.149368,-10.1788,10.029431,-0.074684,-10.1788,10.104116,True,True,english
"When Clara and Kate went to the museum, Clara gave the package to","When Derek and Kate went to the museum, Derek gave the package to",Kate,Clara,Derek,BAB,0,the museum,package,1,1,[29201],[50557],-0.456721,-6.470798,6.014077,-0.456721,-6.470798,6.014077,True,True,english
"After Grace and Victor left the school, Victor sent the card to","After Grace and Sam left the school, Sam sent the card to",Grace,Victor,Sam,ABB,3,the school,card,1,1,[31071],[32312],-1.633419,-6.312836,4.679417,-1.633419,-6.312836,4.679417,True,True,english
"When Kate and Clara went to the hospital, Kate gave the phone to","When Olivia and Clara went to the hospital, Olivia gave the phone to",Clara,Kate,Olivia,BAB,0,the hospital,phone,1,1,[50557],[29201],-0.300237,-7.339173,7.038936,-0.300237,-7.339173,7.038936,True,True,english
"As Xander and Isla walked through the station, Xander offered the ticket to","As Carol and Isla walked through the station, Carol offered the ticket to",Isla,Xander,Carol,BAB,6,the station,ticket,2,2,"[2160, 4260]","[1599, 8199]",-0.398443,-6.919759,6.521317,-0.199221,-3.45988,3.260658,True,True,english
"After Emma and Victor left the gym, Emma sent the bag to","After Liam and Victor left the gym, Liam sent the bag to",Victor,Emma,Liam,BAB,3,the gym,bag,1,1,[32312],[34935],-2.730629,-3.810359,1.079729,-2.730629,-3.810359,1.079729,True,True,english
"When Isla and Liam visited the station, Liam handed the ticket to","When Isla and Mia visited the station, Mia handed the ticket to",Isla,Liam,Mia,ABB,1,the station,ticket,2,1,"[2160, 4260]",[60642],-0.461368,-8.418258,7.956889,-0.230684,-8.418258,8.187574,True,True,english
"While Paul and Rose were at the park, Paul brought the book to","While Zach and Rose were at the park, Zach brought the book to",Rose,Paul,Zach,BAB,4,the park,book,1,1,[15964],[6898],-2.971314,-7.423922,4.452608,-2.971314,-7.423922,4.452608,True,True,english
